GMLId;ParentGMLId;Latitude;Longitude;X-coordinate;Y-coordinate;LOD;Year of construction;Year of refurbishment;Refurbishment Variant;ALKIS code;PrimaryUsageZoneType;PrimaryUsageZoneArea;SecondaryUsageZoneType;SecondaryUsageZoneArea;BuildingType;Footprint area;Total wall thermal area above ground;Total wall thermal area below ground;Total outwall area;Total sharedwall area;Total roof area;Gross volume;Is Gross volume approximated?;Heated volume;Ridge/mean Height;Eaves/mean Height;Storey number;Average Storey Height;Number of households;Number of occupants;Attic Heating;Basement Heating;Basement ceiling height above ground;Surface area to volume ratio;Heated area;Mean Uvalue;Specific domestic hot water demand;Specific space heating demand;Total Yearly Heat+DHW demand;January Heating Demand;February Heating Demand;March Heating Demand;April Heating Demand;May Heating Demand;June Heating Demand;July Heating Demand;August Heating Demand;September Heating Demand;October Heating Demand;November Heating Demand;December Heating Demand
[-];[-];[°];[°];[?];[?];LOD;[YYYY];[YYYY];[-];[-];[-];[m²];[-];[m²];[-];[m²];[m²];[m²];[m²];[m²];[m²];[m³];[0/1];[m³];[m];[m];[-];[m];[-];[-];[-];[-];[m];[m⁻¹];[m²];[W/(m²·K)];[kWh/(m²·a)];[kWh/(m²·a)];[kWh/a];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh]
DEBE3D04YY500002dK;;52,52423;13,31425;385633,24;5820682,24;LOD2;1905;;Original;2143;non-heated;147,1;none;0,0;EFH;88,0;151,1;0,0;151,1;21,9;88,3;405,1;false;405,1;5,0;4,96;2;2,5;0;0;NO_ROOM;NO_ROOM;0,0;0,808;147,1;1,25;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBE3D04YY50000Lwj;;52,52645;13,30907;385287,54;5820937,75;LOD2;1900;;Original;2120;industry;75,6;none;0,0;EFH;90,9;102,8;0,0;134,0;0,0;90,9;311,1;false;236,2;3,4;3,42;1;2,6;0;0;NO_ROOM;NOT_HEATED;0,8;1,015;75,6;1,20;32,9;133,6;12584;2656;2127;1312;94;0;0;0;0;0;243;1400;2267
DEBE3D04YY500009nt;;52,52401;13,30704;385143,30;5820669,16;LOD2;1985;;Original;2461;non-heated;1641,3;none;0,0;RH;980,0;818,4;0,0;818,4;11,3;980,0;6109,1;false;5129,1;6,2;6,23;2;2,6;0;0;NO_ROOM;NOT_HEATED;1,0;0,455;1641,3;0,60;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBE3D04YY500004uh;;52,52418;13,30953;385312,79;5820684,46;LOD2;1955;;Original;1010;residential;1681,8;none;0,0;HH;239,8;1159,1;0,0;1167,6;225,3;335,0;5458,7;false;5255,6;25,8;18,72;10;2,5;31;42;HEATED;NOT_HEATED;0,8;0,319;1681,8;1,50;15,8;99,3;193613;37201;30525;22408;5986;502;1;0;0;599;11578;24576;33598
DEBE3D04YY50000DUK;;52,52398;13,30824;385224,78;5820664,35;LOD2;1955;;Original;1010;residential;2968,8;none;0,0;GMH;482,0;2083,4;0,0;2099,2;0,0;482,0;9428,5;false;9277,6;19,6;19,56;7;2,8;48;64;NO_ROOM;NOT_HEATED;0,3;0,325;2968,8;1,54;15,8;102,6;351601;67088;55298;41231;11674;1093;3;0;0;1235;21658;44678;60618
DEBE3D04YY50000KBD;;52,52281;13,30640;385097,16;5820537,58;LOD2;2013;;Original;1010;residential;1519,8;none;0,0;GMH;234,7;703,9;0,0;703,9;546,3;234,7;4749,5;false;4749,5;20,2;20,24;8;2,5;24;37;NO_ROOM;NO_ROOM;0,0;0,247;1519,8;0,78;15,8;48,0;97095;16498;13619;9929;2230;105;0;0;0;146;4895;10772;14828
DEBE3D04YY500006ZN;;52,52219;13,30646;385099,72;5820468,09;LOD2;2013;;Original;1010;residential;1450,2;none;0,0;GMH;243,8;649,1;0,0;684,0;546,6;243,8;4775,7;false;4531,9;19,6;19,59;7;2,7;23;40;NO_ROOM;NOT_HEATED;1,0;0,245;1450,2;0,77;15,8;47,6;92059;15581;12873;9420;2150;102;0;0;0;141;4646;10176;14000
DEBE3D04YY500009qS;;52,52416;13,31421;385630,24;5820675,10;LOD2;1905;;Original;2143;non-heated;45,9;none;0,0;RH;27,5;56,8;0,0;56,8;40,8;27,8;127,5;false;127,5;5,0;5,00;2;2,5;0;0;NO_ROOM;NO_ROOM;0,0;0,880;45,9;1,32;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBE3D04YY50000NIM;;52,52421;13,30922;385292,24;5820688,37;LOD2;1955;;Original;1010;residential;482,0;none;0,0;GMH;75,6;760,8;0,0;765,2;0,0;93,5;1581,9;false;1506,2;22,0;18,45;7;3,0;8;10;HEATED;NOT_HEATED;1,0;0,591;482,0;1,47;15,8;148,6;79264;16635;13423;9262;2126;134;0;0;0;113;4335;10640;14962
DEBE3D04YY50000FwN;;52,52520;13,31015;385357,86;5820796,64;LOD2;1905;;Original;2111;industry;2083,4;none;0,0;GMH;290,7;1364,4;0,0;1377,7;264,1;290,7;6598,8;false;6510,8;22,7;22,70;8;2,8;0;0;NO_ROOM;NOT_HEATED;0,3;0,297;2083,4;1,70;32,9;42,8;157648;25748;19449;8892;238;0;0;0;0;0;1217;11993;21649
