======================== Summary ========================

Excluded 6 buildings from processing (reason: Unknown ALKIS code: 2520)
Excluded 2 buildings from processing (reason: Unknown ALKIS code: 2600)
Excluded 2 buildings from processing (reason: Unknown ALKIS code: 2621)
Excluded 35 buildings from processing (reason: Unknown ALKIS code: 1610)
Excluded 192 buildings from processing (reason: Missing year of construction)
Excluded 8 buildings from processing (reason: Building seems to be too low and has 0 storey.)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2083)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 9998)
Excluded 6 buildings from processing (reason: Unknown ALKIS code: 2460)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2000)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2010)
Excluded 12 buildings from processing (reason: Unknown ALKIS code: 2142)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 1000)
Excluded 2 buildings from processing (reason: Unknown ALKIS code: 2310)
Excluded 4 buildings from processing (reason: Unknown ALKIS code: 2200)
Excluded 4 buildings from processing (reason: Unknown ALKIS code: 2100)


================ Excluded buildings lists ===============

Excluded 6 buildings from processing (reason: Unknown ALKIS code: 2520)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50000FfF;38,16;17,71;385966,64750;5820405,15200;-
DEBE3D04YY50002cm1;97,16;32,40;385420,67400;5820116,19450;-
DEBE3D04YY500008n8;1263,69;152,90;385859,79400;5820096,10700;-
DEBE3D04YY500002Dc;1713,69;348,79;385735,48150;5820367,48350;-
DEBE3D04YY50000OkC;1704,26;136,92;385456,66700;5820121,67300;-
DEBE3D04YY50000R3Z;4920,28;220,66;385621,07200;5820080,80450;-
DEBE3D00YY2bD000I4;3113,04;252,00;385135,92150;5820103,18450;-
DEBE3D04YY50002bni;33,78;13,44;385756,31500;5820137,21550;-
DEBE3D04YY50002clV;36,81;12,22;385300,85400;5820182,53650;-
DEBE3D04YY500007AU;61,83;18,24;385497,16950;5820757,65000;-
DEBE3D04YY50000L8F;202,22;56,94;385926,88900;5820137,44100;-
DEBE3D04YY500005yV;639,17;130,50;385044,58200;5820030,23250;-
DEBE3D04YY50000BAW;72,93;13,86;385725,87900;5820470,25150;-
DEBE3D04YY50000ITl;6291,59;255,87;385754,73100;5820288,45200;-
DEBE3D04YY50002bnZ;18,29;5,70;385574,34000;5820205,93950;-
DEBE3D04YY50000J6N;6315,13;255,87;385730,88200;5820271,80000;-
DEBE3D04YY50000DDl;194,71;74,52;385544,33200;5820084,52550;-
DEBE3D04YY50002c28;39,17;10,90;385088,40750;5820607,50650;-
DEBE3D01YYK0003Uh9;10,21;3,96;385880,72400;5820758,74500;-
DEBE3D01YYK0002QB0;23841,77;1002,30;385992,05500;5820710,82800;-
DEBE3D04YY50002ca3;239,46;10,43;385307,14350;5820208,96850;-
DEBE3D04YY50000900;28555,21;918,16;385910,26050;5820239,38350;-
DEBE3D04YY50000CHv;627,68;89,83;385664,85400;5820333,47700;-
DEBE3D01YYK0003VJ4;1278,40;179,32;385820,24550;5821007,69350;-
DEBE3D01YYK0003TiJ;400,04;147,91;385788,95750;5820982,98650;-
DEBE3D04YY50002d0S;28,53;10,77;385916,45650;5820246,44300;-
DEBE3D04YY500006ly;14896,78;670,03;385498,70950;5820825,23900;-
DEBE3D04YY50002d1d;117,59;33,89;385328,28050;5820076,52300;-
DEBE3D04YY50000CZN;1707,08;208,13;385432,14500;5820108,68950;-
DEBE3D04YY50000JTO;2562,36;129,96;385969,74850;5820062,02500;-
DEBE3D04YY50000LJ2;35,61;8,18;385157,47450;5820160,73050;-
DEBE3D04YY50000Duy;6569,22;277,88;385591,51650;5820106,42350;-
DEBE3D04YY50002bnV;123,78;6,38;385698,34000;5820027,22700;-
DEBE3D04YY5000068a;97,14;37,12;385140,67100;5820055,36800;-
DEBE3D01YYK0002KUr;939,47;201,85;385961,52750;5820683,32900;-
DEBE3D04YY50000C5n;3221,51;191,62;385533,24750;5820043,02450;-
DEBE3D04YY5000020Z;5448,42;306,10;385535,89750;5820149,62850;-
DEBE3D01YYK0002S3s;325,15;94,20;385886,44800;5820761,79950;-
DEBE3D01YYK0002S2v;5,09;40,08;385750,86950;5820513,61500;-
DEBE3D04YY50002cbB;663,77;153,28;385510,66200;5820808,25350;-
DEBE3D04YY500008cQ;3323,04;434,44;385666,19850;5820362,65350;-
DEBE3D04YY50000JwH;6304,17;255,88;385696,97150;5820277,87200;-
DEBE3D04YY50002d2P;47,36;13,44;385398,03200;5820077,97650;-
DEBE3D04YY50000AeE;867,50;114,35;385156,47650;5820121,14850;-
DEBE3D04YY50000KiA;47,76;17,44;385943,57700;5820006,65250;-
DEBE3D01YYK0002SFy;62,66;22,91;385810,62800;5820948,27250;-
DEBE3D04YY50000CA2;945,06;155,50;385821,56050;5820179,85400;-
DEBE3D04YY50000PRQ;200,67;39,98;385689,46900;5820459,64400;-
DEBE3D04YY500003gu;553,17;170,25;385161,02000;5820068,00300;-
DEBE3D04YY50002cyw;20,86;1,29;385573,41100;5820041,69100;-
DEBE3D04YY500003zG;3806,24;197,29;385606,53600;5820159,91800;-
DEBE3D04YY500005TY;287,07;125,87;385571,41750;5820119,78300;-
DEBE3D01YYK0003UOs;57,90;17,21;385748,45350;5820971,96100;-
DEBE3D04YY50002cZQ;17,90;6,09;385493,76650;5820163,46800;-
DEBE3D04YY50000Mcy;36,88;14,49;385057,06300;5820034,79250;-
DEBE3D01YYK0003V1U;44,53;6,06;385866,96950;5820796,25000;-
