Index;Consumption [kWh/h]
1;250,28
2;243,97
3;240,00
4;238,90
5;238,60
6;238,02
7;235,10
8;234,90
9;233,26
10;233,25
11;232,67
12;232,64
13;232,53
14;232,51
15;231,71
16;231,49
17;231,41
18;231,02
19;230,38
20;230,19
21;229,87
22;229,76
23;229,74
24;229,66
25;229,07
26;229,06
27;229,04
28;228,98
29;228,64
30;228,43
31;228,32
32;227,84
33;227,76
34;227,69
35;227,24
36;227,21
37;226,99
38;226,77
39;226,61
40;226,21
41;226,16
42;226,16
43;226,14
44;226,07
45;225,80
46;225,76
47;225,37
48;225,33
49;225,33
50;225,31
51;225,15
52;225,08
53;224,99
54;224,89
55;224,83
56;224,61
57;224,51
58;224,48
59;224,44
60;224,37
61;224,10
62;224,07
63;223,89
64;223,82
65;223,61
66;223,44
67;223,28
68;222,76
69;222,69
70;222,64
71;222,62
72;222,52
73;222,49
74;222,44
75;222,31
76;222,29
77;222,25
78;222,24
79;221,73
80;221,70
81;221,23
82;221,07
83;220,98
84;220,86
85;220,61
86;220,49
87;220,17
88;219,82
89;219,63
90;219,48
91;219,36
92;218,99
93;218,93
94;218,87
95;218,67
96;218,43
97;218,27
98;218,15
99;217,85
100;217,47
101;217,38
102;217,13
103;217,07
104;217,06
105;217,02
106;216,99
107;216,88
108;216,63
109;216,32
110;216,30
111;215,95
112;215,86
113;215,81
114;215,79
115;215,35
116;215,14
117;215,11
118;214,53
119;214,48
120;214,34
121;214,20
122;214,14
123;213,92
124;213,88
125;213,84
126;213,18
127;213,11
128;212,88
129;212,70
130;212,70
131;212,54
132;212,45
133;212,32
134;212,19
135;212,18
136;211,91
137;211,71
138;211,61
139;211,56
140;211,35
141;211,09
142;211,03
143;210,60
144;210,49
145;210,34
146;209,45
147;209,38
148;209,20
149;209,06
150;209,02
151;208,95
152;208,91
153;208,73
154;208,70
155;208,61
156;208,56
157;208,54
158;208,54
159;208,53
160;208,51
161;208,00
162;207,25
163;207,24
164;207,19
165;207,10
166;207,08
167;207,07
168;207,04
169;206,71
170;206,68
171;206,50
172;206,43
173;206,42
174;206,41
175;206,05
176;205,95
177;205,79
178;205,47
179;205,40
180;205,20
181;205,17
182;205,15
183;205,05
184;204,91
185;204,88
186;204,81
187;204,80
188;204,80
189;204,65
190;204,52
191;204,48
192;204,28
193;204,15
194;204,11
195;203,98
196;203,97
197;203,91
198;203,91
199;203,89
200;203,88
201;203,76
202;203,74
203;203,67
204;203,67
205;203,67
206;203,61
207;203,51
208;203,48
