## SimStadt DIN18599 Monthly Energy Balance
#
# Weather data source;PVGIS v5_1 - SARAH - From 2005 to 2016 hourly interpolated with Insel
# Location;N52_6__E13_2
# Coordinate reference system;EPSG:25833
# Latitude;52,53;°
# Longitude;13,30;°
# Radiation model;pvgis_SARAH_2005_2016_Hay
# Calculation Mode;HEATING
# Consumer behaviour;IWU_NUTZUNG
#
# Building physics library;German Building Typology Library IWU (http://www.iwu.de)
# Building usage library;Building Usage Library (based on UsageLibrary.xlsx, sheet: Germany)
# Has custom building usage codes?;false
#
# SimStadt version;0.10.0-SNAPSHOT (master, rev. 6d7c707, 20230828)
# Created at;2024/08/08 15:45:07
# Cache version;7
#
GMLId;ParentGMLId;Latitude;Longitude;X-coordinate;Y-coordinate;LOD;Year of construction;Year of refurbishment;Refurbishment Variant;ALKIS code;PrimaryUsageZoneType;PrimaryUsageZoneArea;SecondaryUsageZoneType;SecondaryUsageZoneArea;BuildingType;Footprint area;Total wall thermal area above ground;Total wall thermal area below ground;Total outwall area;Total sharedwall area;Total roof area;Gross volume;Is Gross volume approximated?;Heated volume;Ridge/mean Height;Eaves/mean Height;Storey number;Average Storey Height;Number of households;Number of occupants;Attic Heating;Basement Heating;Basement ceiling height above ground;Surface area to volume ratio;Heated area;Mean Uvalue;Specific domestic hot water demand;Specific space heating demand;Total Yearly Heat+DHW demand;January Heating Demand;February Heating Demand;March Heating Demand;April Heating Demand;May Heating Demand;June Heating Demand;July Heating Demand;August Heating Demand;September Heating Demand;October Heating Demand;November Heating Demand;December Heating Demand
[-];[-];[°];[°];[?];[?];LOD;[YYYY];[YYYY];[-];[-];[-];[m²];[-];[m²];[-];[m²];[m²];[m²];[m²];[m²];[m²];[m³];[0/1];[m³];[m];[m];[-];[m];[-];[-];[-];[-];[m];[m⁻¹];[m²];[W/(m²·K)];[kWh/(m²·a)];[kWh/(m²·a)];[kWh/a];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh]
DEBE3D04YY50000MYe;;52,52756;13,30142;384771,75;5821073,72;LOD2;1955;;Original;1010;residential;4644,3;none;0,0;GMH;783,1;2991,4;0,0;2991,4;9,3;783,1;14513,3;false;14513,3;18,5;18,53;7;2,6;74;128;NO_ROOM;NO_ROOM;0,0;0,314;4644,3;1,49;15,8;97,7;527148;99532;82021;61776;18312;1884;8;0;0;1950;32296;66003;89800
DEBE3D04YY50000BTD;;52,52746;13,30228;384830,06;5821060,30;LOD2;1955;;Original;3021;education;110,7;none;0,0;EFH;59,9;117,7;0,0;118,1;0,0;59,9;227,8;false;227,8;3,8;3,80;2;1,9;0;0;NO_ROOM;NO_ROOM;0,0;1,043;110,7;1,15;24,8;145,1;18818;3410;2820;2171;764;146;4;0;1;147;1210;2306;3092
DEBE3D04YY500004PP;;52,52840;13,30467;384994,43;5821161,12;LOD2;1955;;Original;1010;residential;1546,7;none;0,0;GMH;276,1;1263,3;0,0;1285,6;0,0;343,4;5109,4;false;4833,4;20,7;16,42;7;2,8;25;36;HEATED;NOT_HEATED;1,0;0,373;1546,7;1,40;15,8;104,5;186161;36409;29720;21457;5511;471;1;0;0;497;10902;23829;32864
DEBE3D04YY50000HmC;;52,52735;13,30174;384792,47;5821049,12;LOD2;1955;;Original;2523;industry;10,8;none;0,0;RH;13,3;28,8;0,0;32,2;9,5;13,3;37,8;false;33,8;2,8;2,85;1;2,6;0;0;NO_ROOM;NOT_HEATED;0,3;1,553;10,8;1,27;32,9;154,5;2028;479;360;183;7;0;0;0;0;0;21;220;402
DEBE3D04YY500004Tf;;52,52951;13,30374;384934,09;5821286,40;LOD2;1905;;Original;1010;residential;2383,3;none;0,0;MFH;791,7;1789,8;0,0;1964,2;48,5;932,7;10434,7;false;9643,0;14,9;11,63;4;3,5;30;52;HEATED;NOT_HEATED;1,0;0,353;2383,3;1,84;15,8;151,2;398024;82631;67329;47637;10139;380;0;0;0;381;23354;53839;74585
DEBE3D04YY5000044Q;;52,53024;13,30415;384963,70;5821367,24;LOD2;1905;;Original;1010;residential;1464,9;none;0,0;MFH;487,8;1204,2;0,0;1226,0;0,0;585,2;6021,0;false;5533,2;14,1;10,46;4;3,3;18;43;HEATED;NOT_HEATED;1,0;0,382;1464,9;1,86;15,8;156,4;252361;52879;42954;30187;6318;226;0;0;0;204;14450;34306;47635
DEBE3D04YY50000AVo;;52,52955;13,30434;384974,84;5821290,22;LOD2;1905;;Original;1010;residential;3263,6;none;0,0;MFH;879,4;2143,0;0,0;2143,0;0,0;879,4;10198,8;false;10198,8;11,6;11,60;4;2,9;41;87;NO_ROOM;NO_ROOM;0,0;0,383;3263,6;1,53;15,8;110,3;411681;81169;66532;48371;11353;541;0;0;0;617;24488;53535;73379
DEBE3D04YY50000PDF;;52,52790;13,29812;384548,96;5821116,26;LOD2;1925;;Original;1010;residential;17810,7;none;0,0;GMH;2428,1;10113,4;0,0;10113,4;0,0;2428,1;55658,3;false;55658,3;22,9;22,92;8;2,9;285;463;NO_ROOM;NO_ROOM;0,0;0,269;17810,7;1,36;15,8;77,5;1662019;306274;252425;190091;52001;2813;3;0;0;2922;95923;201740;275706
DEBE3D04YY50000Ro9;;52,52944;13,30326;384901,58;5821278,93;LOD2;1955;;Original;1010;residential;1722,9;none;0,0;MFH;464,3;1226,6;0,0;1226,6;51,9;542,2;5809,8;false;5384,0;14,2;11,15;5;2,7;21;36;HEATED;NOT_HEATED;0,9;0,384;1722,9;1,46;15,8;116,8;228582;44709;36738;27061;7352;652;1;0;0;708;14069;29586;40417
