======================== Summary ========================

Excluded 984 buildings from processing (reason: Missing year of construction)


================ Excluded buildings lists ===============

Excluded 984 buildings from processing (reason: Missing year of construction)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3DATKB100008VA;46,16;0,00;384360,12600;5820990,98050;-
DEBE3D04YY50002clD;191,85;36,33;384513,58700;5820336,47700;-
DEBE3DBQHuBj9W3w;754,10;28,65;384594,57700;5820595,05600;-
DEBE3DF8pTXL1q7v;5103,32;216,86;384893,08700;5820804,23250;-
DEBE3DhhwSupqTAj;1643,16;96,25;384873,25700;5820786,11150;-
DEBE3DVELdWQ57gR;522,01;80,31;385043,97750;5820614,95800;-
DEBE3D04YY50002cQp;3,26;3,20;384570,09550;5820770,87550;-
DEBE3Deo0ERXEdQ2;710,54;59,37;384988,30300;5820713,96400;-
DEBE3D04YY50000R3Q;4917,41;218,02;384873,39550;5820216,70300;-
DEBE3DetzT3bfx4I;925,84;38,53;384820,16200;5820352,31450;-
DEBE3D04YY500002uy;117,31;8,99;384520,84200;5820709,43450;-
DEBE3D04YY50000Ptt;562,25;144,02;384870,47050;5820158,77300;-
DEBE3DmYFaMkVz2E;3346,78;151,67;384673,75850;5820604,99300;-
DEBE04YY500003p8_02;129,67;10,96;384219,41000;5820045,50000;-
DEBE3Do4LI4hVq8Y;1743,06;76,45;384647,42700;5820667,71700;-
DEBE04YY500003p8_01;107,39;12,83;384210,57800;5820050,00350;-
DEBE3DQsLvfIKljQ;458,14;52,62;384623,20500;5820906,77000;-
DEBE3Dyf9vNmNrp5;1703,74;73,38;384175,44000;5820054,90150;-
DEBE3DA4LYCKZzB5;771,75;39,17;384955,86950;5820266,20450;-
DEBE3DuDS4InhR4W;1134,44;53,26;384342,66100;5820041,43150;-
DEBE3DR4GvrG1YpQ;531,61;30,55;384656,07350;5820319,10350;-
DEBE3D04YY50000NEy;9869,14;477,81;384814,77700;5820582,18300;-
DEBE3D04YY50000JjD;161,80;73,32;384750,96650;5820842,93050;-
UUID_95140693-aa87-4b12-8aaa-9adf7426eb6d;8888,59;596,88;384334,82600;5820142,38650;-
DEBE3DR1xmNO6Z7i;4122,43;248,64;384724,22350;5820794,96000;-
DEBE3DlcUQDihjmX;2879,42;138,22;384712,35950;5820728,00400;-
DEBE04YY500001FC_01;68,80;28,17;384722,22200;5820741,72600;-
DEBE3Df3fRGpb5S6;679,64;34,44;384826,56600;5820802,23900;-
UUID_367222e4-5fde-4a8b-8b86-c7bbd5c367b8;5470,18;352,73;384252,65050;5820035,61450;-
DEBE3DLjH8utG6Ej;9832,94;414,87;384810,91950;5820734,43900;-
DEBE3DTZ1qPbmeS5;5634,97;230,48;384743,99000;5820510,01600;-
DEBE3DRsgm5MlTJh;1261,25;96,54;384935,73250;5820083,49550;-
DEBE3DSefEACgrrB;2010,50;89,05;384916,40950;5820202,30100;-
DEBE3Dwr3FEnShQt;2901,48;125,88;384863,16050;5820941,55900;-
