Time;Hour of the year;Hour;Ambient temperature;Daily temperature;Hourly demand;Load Duration Curve
[yyyy-MM-dd HH:mm:ss];[hoy];[h];[°C];[°C];[kWh/h];[kWh/h]
2005-01-01 00:30:00;0;0;9,3;9,5;2169,5;9973,8
2005-01-01 01:30:00;1;1;8,8;9,5;2326,8;9910,8
2005-01-01 02:30:00;2;2;8,3;9,5;2484,2;9816,4
2005-01-01 03:30:00;3;3;8,1;9,5;2547,1;9722,0
2005-01-01 04:30:00;4;4;7,9;9,5;2610,0;9659,1
2005-01-01 05:30:00;5;5;7,7;9,5;2673,0;9564,7
2005-01-01 06:30:00;6;6;7,6;9,5;2704,4;9564,7
2005-01-01 07:30:00;7;7;7,5;9,5;3994,7;9533,2
2005-01-01 08:30:00;8;8;7,7;9,5;3931,7;9470,2
2005-01-01 09:30:00;9;9;9,1;9,5;3491,2;9407,3
2005-01-01 10:30:00;10;10;10,4;9,5;3082,1;9312,9
2005-01-01 11:30:00;11;11;11,5;9,5;2735,9;9124,1
2005-01-01 12:30:00;12;12;12,2;9,5;2515,6;9092,6
2005-01-01 13:30:00;13;13;12,6;9,5;2389,8;9078,8
2005-01-01 14:30:00;14;14;12,6;9,5;2389,8;9061,2
2005-01-01 15:30:00;15;15;12,1;9,5;2547,1;9029,7
2005-01-01 16:30:00;16;16;11,4;9,5;2767,4;8966,7
2005-01-01 17:30:00;17;17;10,7;9,5;2987,7;8888,3
2005-01-01 18:30:00;18;18;10,1;9,5;3176,5;8872,3
2005-01-01 19:30:00;19;19;9,5;9,5;3365,3;8809,4
2005-01-01 20:30:00;20;20;8,9;9,5;3554,1;8809,4
2005-01-01 21:30:00;21;21;8,3;9,5;3742,9;8793,0
2005-01-01 22:30:00;22;22;7,6;9,5;3963,2;8793,0
2005-01-01 23:30:00;23;23;7,0;9,5;4152,0;8793,0
2005-01-02 00:30:00;24;0;5,8;2,6;3270,9;8777,9
2005-01-02 01:30:00;25;1;4,4;2,6;3711,4;8715,0
2005-01-02 02:30:00;26;2;3,1;2,6;4120,5;8715,0
2005-01-02 03:30:00;27;3;2,3;2,6;4372,3;8697,8
2005-01-02 04:30:00;28;4;1,6;2,6;4592,6;8683,5
2005-01-02 05:30:00;29;5;0,8;2,6;4844,3;8670,5
2005-01-02 06:30:00;30;6;0,3;2,6;5001,7;8666,0
2005-01-02 07:30:00;31;7;-0,3;2,6;6449,2;8652,1
2005-01-02 08:30:00;32;8;-0,3;2,6;6449,2;8652,1
2005-01-02 09:30:00;33;9;1,5;2,6;5882,8;8652,1
2005-01-02 10:30:00;34;10;3,0;2,6;5410,8;8620,6
2005-01-02 11:30:00;35;11;4,4;2,6;4970,2;8589,1
2005-01-02 12:30:00;36;12;5,2;2,6;4718,4;8589,1
2005-01-02 13:30:00;37;13;5,6;2,6;4592,6;8589,1
2005-01-02 14:30:00;38;14;5,6;2,6;4592,6;8589,1
2005-01-02 15:30:00;39;15;4,8;2,6;4844,3;8589,1
2005-01-02 16:30:00;40;16;3,5;2,6;5253,4;8570,7
2005-01-02 17:30:00;41;17;3,0;2,6;5410,8;8557,7
2005-01-02 18:30:00;42;18;2,5;2,6;5568,1;8526,2
2005-01-02 19:30:00;43;19;2,0;2,6;5725,5;8526,2
2005-01-02 20:30:00;44;20;1,6;2,6;5851,3;8494,7
2005-01-02 21:30:00;45;21;1,1;2,6;6008,7;8494,1
2005-01-02 22:30:00;46;22;0,6;2,6;6166,0;8494,1
2005-01-02 23:30:00;47;23;0,1;2,6;6323,4;8443,7
2005-01-03 00:30:00;48;0;0,2;3,3;5033,1;8443,7
2005-01-03 01:30:00;49;1;0,4;3,3;4970,2;8431,8
2005-01-03 02:30:00;50;2;0,6;3,3;4907,3;8431,8
2005-01-03 03:30:00;51;3;0,7;3,3;4875,8;8412,0
