0	0	-4.78
0	0	-4.91
37	35	-4.41
65	61	-3.80
26	26	-2.86
136	124	-2.36
77	74	-2.24
67	63	-1.80
42	40	-1.78
8	7	-1.72
0	0	-1.49
0	0	-1.78
0	0	-1.72
0	0	-1.80
0	0	-1.66
0	0	-1.24
0	0	-0.66
0	0	-0.31
0	0	-0.84
0	0	-0.78
0	0	0.04
0	0	0.17
0	0	0.62
0	0	1.10
0	0	1.03
0	0	1.46
57	44	1.97
106	89	3.32
122	112	4.22
149	131	5.03
190	128	5.45
194	92	5.89
110	68	6.32
38	17	6.05
0	0	5.56
0	0	5.54
0	0	5.43
0	0	5.18
0	0	5.38
0	0	4.48
0	0	5.11
0	0	4.35
0	0	4.68
0	0	4.59
0	0	4.09
0	0	3.51
0	0	3.08
0	0	2.62
0	0	2.32
0	0	2.20
48	43	2.43
92	84	2.83
202	111	3.74
161	135	3.96
175	132	4.17
111	102	4.28
92	73	4.66
14	14	3.84
0	0	3.05
0	0	2.77
0	0	2.73
0	0	2.80
0	0	3.08
0	0	3.05
0	0	2.92
0	0	2.71
0	0	3.09
0	0	3.16
0	0	2.59
0	0	2.73
0	0	2.21
0	0	2.19
0	0	2.42
0	0	3.17
12	12	3.37
38	36	4.10
30	30	4.42
79	75	5.21
39	38	6.22
67	64	6.55
57	53	6.09
8	7	5.88
0	0	5.67
0	0	5.97
0	0	5.82
0	0	5.61
0	0	4.92
0	0	4.84
0	0	5.21
0	0	4.63
0	0	4.47
0	0	4.32
0	0	3.73
0	0	2.98
0	0	2.56
0	0	2.24
0	0	2.46
0	0	2.25
23	22	2.60
81	76	1.41
157	124	1.38
98	93	1.01
64	62	1.11
60	58	1.13
63	59	0.78
11	10	0.44
0	0	-0.25
0	0	-0.52
0	0	-0.82
0	0	-1.40
0	0	-2.13
0	0	-2.78
0	0	-2.86
0	0	-3.24
0	0	-4.08
0	0	-5.62
0	0	-6.15
0	0	-6.69
0	0	-6.95
0	0	-7.66
0	0	-7.88
0	0	-7.62
56	48	-6.89
54	51	-6.78
45	44	-6.41
155	138	-6.86
189	136	-6.32
124	112	-6.08
128	72	-6.33
54	20	-7.01
0	0	-7.61
0	0	-8.03
0	0	-7.42
0	0	-8.39
0	0	-9.14
0	0	-9.28
0	0	-9.85
0	0	-9.99
0	0	-10.45
0	0	-9.63
0	0	-8.87
0	0	-9.50
0	0	-10.14
0	0	-10.35
0	0	-10.32
0	0	-9.60
57	49	-8.66
129	96	-7.41
178	127	-6.60
215	137	-5.58
231	126	-4.68
143	117	-5.11
56	52	-5.79
37	29	-6.49
0	0	-6.90
0	0	-7.08
0	0	-7.16
0	0	-7.30
0	0	-7.96
0	0	-8.22
0	0	-8.64
0	0	-8.55
0	0	-8.75
0	0	-8.77
0	0	-9.12
0	0	-9.28
0	0	-9.80
0	0	-9.82
0	0	-9.89
0	0	-10.26
23	22	-9.76
