======================== Summary ========================

Excluded 7 buildings from processing (reason: Unknown ALKIS code: 1610)
Excluded 6 buildings from processing (reason: Building seems to be too low and has 0 storey.)
Excluded 4 buildings from processing (reason: Unknown ALKIS code: 3060)
Excluded 1 buildings from processing (reason: Heated area is too small)
Excluded 8 buildings from processing (reason: Unknown ALKIS code: 2460)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 3020)
Excluded 521 buildings from processing (reason: Missing year of construction)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2054)
Excluded 3 buildings from processing (reason: Unknown ALKIS code: 1120)


================ Excluded buildings lists ===============

Excluded 7 buildings from processing (reason: Unknown ALKIS code: 1610)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE04YY50000EAO_01;11,46;3,81;384928,67200;5820953,18450;-
DEBE04YY50000Mux_03;996,40;99,37;384683,49150;5820113,78950;-
DEBE3DpH0qCRteRP;6787,35;289,26;384726,58500;5820291,32550;-
DEBE3D04YY500003zn;6121,27;269,46;384905,20600;5820330,51350;-
DEBE3DATKB100008VI;93,70;0,00;384275,61850;5820683,49300;-
DEBE04YY500005Ha_01;464,92;24,82;384938,26400;5820062,74100;-
DEBE3DIfPvZsC7Z0;4835,77;210,95;384742,58800;5820255,83050;-
DEBE3DTIUgS4pltv;4737,96;579,40;384183,36050;5820318,32650;-
DEBE3DETHRI6cXai;1377,83;98,50;384218,60400;5820093,65750;-
DEBE3D04YY50002cl4;326,74;20,78;385003,24800;5820020,22250;-
DEBE3D04YY500008gK;4847,96;230,52;384920,82400;5820325,70450;-
DEBE3D04YY50002ckS;107,84;5,40;384465,68400;5820026,12600;-
DEBE3DPAsxmxFDAn;5561,66;245,53;384708,36650;5820112,93200;-
DEBE3DuDS4InhR4W;1134,44;53,26;384342,66100;5820041,43150;-
DEBE3D04YY50002cJS;106,28;19,92;384163,88550;5820129,18000;-
DEBE3DYjGyBaAL0T;761,06;51,06;384292,55250;5820049,84650;-
UUID_95140693-aa87-4b12-8aaa-9adf7426eb6d;8888,59;596,88;384334,82600;5820142,38650;-
DEBE3DoeaCkVpYfO;1144,20;52,86;384169,58600;5820092,97050;-
DEBE04YY500003s0_01;247,24;79,96;384310,79250;5820140,45250;-
DEBE3DRsgm5MlTJh;1261,25;96,54;384935,73250;5820083,49550;-
DEBE3DnQQ3UYteZ3;6811,63;585,35;384259,55650;5820324,22700;-
DEBE04YY50000Cxy_01;1006,82;62,47;384448,85000;5820021,20950;-
DEBE3DRQPdODDs3n;1233,22;52,80;384886,76750;5820268,87150;-
DEBE3DRcMM8PU7Xn;2152,78;84,41;384986,03900;5820272,45650;-
DEBE3DNmQuRRn8js;5098,91;242,07;384928,65000;5820928,12000;-
DEBE3DX4XbBpi632;1167,50;59,72;384549,40850;5820071,69300;-
UUID_07759bbf-dd3d-41f4-8865-543688d20c17;7536,74;720,26;384283,78500;5820072,25250;-
DEBE3D04YY50000Q3t;30,70;14,51;384588,00100;5820046,83200;-
DEBE3Dyf9vNmNrp5;1703,74;73,38;384175,44000;5820054,90150;-
DEBE3DR4GvrG1YpQ;531,61;30,55;384656,07350;5820319,10350;-
DEBE04YY500004tf_01;445,67;91,09;384563,20050;5820154,87450;-
UUID_bfa31180-0b31-4d8e-84f6-c8425efa1eaf;3628,73;158,04;384704,45850;5820211,03950;-
DEBE04YY500008L6_02;145,06;27,70;384882,18750;5820256,45550;-
DEBE3D04YY50000DSL;3077,51;296,37;384606,49400;5820383,11550;-
DEBE3DCyxbsfcyvc;3123,32;212,88;384208,16850;5820089,47100;-
DEBE04YY50000E3N_01;125,04;18,57;384424,87550;5820032,44250;-
DEBE3DEqihPX53qw;1009,06;45,44;384772,28200;5820322,02600;-
UUID_64e7c073-ec8a-460c-baed-11e3129078a6;4311,70;178,25;384766,46250;5820083,25200;-
DEBE04YY500008L6_01;587,48;25,13;384884,32800;5820261,76150;-
DEBE3D04YY5000037N;4173,78;194,91;384833,33550;5820928,50700;-
DEBE3DLlP3hsGijT;2158,32;139,24;384295,55500;5820013,25600;-
DEBE3DXGtdqu7bMg;786,02;49,84;384351,82400;5820040,51550;-
DEBE3Dha9AMItFEU;2721,65;130,28;384868,50150;5820029,12800;-
UUID_9cdcd5c7-9c49-4c6b-a2e6-7f2d9d2eb3f4;8751,60;410,74;384508,98450;5820078,01200;-
DEBE3DZbpFspmW5J;805,05;42,81;384451,16200;5820077,20450;-
DEBE04YY50000E3N_03;3548,39;268,80;384433,35650;5820032,76000;-
DEBE04YY50000E3N_02;38,25;3,15;384445,72000;5820034,97250;-
DEBE3Dm0RjzF5LJo;3097,82;367,73;384814,25250;5820243,34450;-
DEBE3DuQ7zszk8nr;4750,10;209,17;384937,15900;5820320,38650;-
DEBE3DXLL8BAiBRR;1175,22;61,69;384574,96100;5820155,70200;-
DEBE3D04YY50000QWP;5171,00;279,77;384518,81100;5820055,85350;-
DEBE3DwswAag2rYd;2239,58;103,71;384839,92200;5820307,92150;-
DEBE3D04YY50000OZp;6451,80;328,47;384848,57400;5820037,36800;-
DEBE3DPfHylOnPmj;946,53;111,38;384870,72300;5820900,75000;-
DEBE3DJqsVL3gUXJ;9664,85;356,28;384996,96450;5820251,43700;-
UUID_2c1b244a-3dbb-4f07-bbfe-c8e7453d6120;8603,72;354,85;384923,20950;5820187,66250;-
DEBE04YY500009QV_01;141,64;10,12;384105,68800;5820729,11900;-
DEBE3DaRrarxgnsV;249,84;59,58;384893,14800;5820885,84900;-
DEBE3DqoE61D1a2c;496,61;26,03;384435,48000;5820081,53150;-
UUID_27abeeb7-da7e-4a06-8026-fa5855273fda;3454,43;203,59;384154,50150;5820120,84250;-
DEBE3DBxKYFAjQqF;444,08;29,07;384685,60600;5820218,44150;-
DEBE3D04YY50000GtN;3293,14;194,10;384906,83150;5820241,41750;-
UUID_0a73e060-2bbd-4774-89d8-6bf8e9d03476;7954,48;486,39;384322,65700;5820026,78400;-
DEBE3DxaMoSW5zyG;5728,04;244,21;384783,73400;5820314,28450;-
DEBE3DbCXjssNtUZ;1786,09;181,86;384467,85150;5820139,00650;-
DEBE3D04YY500005bW;5326,67;229,80;384701,75550;5820194,27250;-
DEBE3DYojyn19IYm;427,76;26,67;384661,32150;5820085,63900;-
DEBE3DATKB100008VA;46,16;0,00;384360,12600;5820990,98050;-
DEBE3D04YY50002clD;191,85;36,33;384513,58700;5820336,47700;-
UUID_3637e33b-a543-4bf5-aba8-0e79f29656a1;1998,48;103,37;384897,40900;5820083,30400;-
DEBE04YY50000AQQ_01;42,00;10,12;384160,08650;5820128,57700;-
DEBE3DEUCJJqmxtO;1291,04;65,79;384622,40500;5820037,11850;-
DEBE3D04YY50000KLb;110,80;64,61;384941,29500;5820302,57850;-
DEBE3D04YY50000IeG;8805,07;400,43;384599,87250;5820119,04100;-
DEBE3DUMdiQUkYBt;643,53;31,58;384603,54300;5820107,86700;-
DEBE3D04YY50000KSa;100,78;18,36;384867,33000;5820933,18350;-
nullDEBE3DGEeLhTY6RY;815,94;35,09;384687,42550;5820037,68950;-
DEBE04YY500003Pf_001;7113,83;385,12;384861,61150;5820979,26600;-
DEBE3DNmOJh2wQP0;7501,56;317,59;384697,33850;5820045,34200;-
DEBE3D04YY50002cVL;54,87;3,49;384903,56600;5820875,42100;-
DEBE3D04YY500001wn;14031,99;595,93;384738,33000;5820359,85150;-
DEBE3D04YY500001jd;2435,21;297,54;384451,78350;5820134,20500;-
DEBE3D04YY50002cQh;54,76;17,23;384897,86050;5820924,08550;-
DEBE3Dww66KUn1nw;4691,69;205,57;384980,25350;5820293,93100;-
DEBE3D04YY50000OVk;3043,08;200,47;384962,84800;5820100,89750;-
DEBE04YY50000PV4_01;4124,70;199,08;384842,93150;5820890,36550;-
DEBE3D04YY5000039j;14136,80;613,48;384765,99850;5820244,64950;-
DEBE3DFWGsRSnEsn;5375,71;227,01;384635,85250;5820033,83250;-
DEBE3D04YY500009Ah;394,58;66,55;384456,32300;5820026,79100;-
DEBE3D04YY50002btm;67,03;15,79;384445,48450;5820113,27750;-
DEBE3DpjoEOHkcT5;4552,15;214,56;384598,42350;5820061,68600;-
DEBE3DqaVL9pHtT4;2819,02;125,23;384906,47650;5820205,80850;-
DEBE3DQwl9Tso7Rh;1934,41;357,76;384694,71950;5820114,87850;-
DEBE3DjflaUO63Ph;181,97;26,20;384845,47100;5820013,59350;-
