======================== Summary ========================

Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2520)
Excluded 4 buildings from processing (reason: Unknown ALKIS code: 2621)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2522)
Excluded 24 buildings from processing (reason: Unknown ALKIS code: 1610)
Excluded 2 buildings from processing (reason: Building seems to be too low and has 0 storey.)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 3095)
Excluded 3 buildings from processing (reason: Unknown ALKIS code: 2460)
Excluded 314 buildings from processing (reason: Missing year of construction)
Excluded 3 buildings from processing (reason: Unknown ALKIS code: 2462)
Excluded 8 buildings from processing (reason: Unknown ALKIS code: 1120)


================ Excluded buildings lists ===============

Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2520)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY500007pI;211,07;57,97;384529,93350;5821384,79700;-


Excluded 4 buildings from processing (reason: Unknown ALKIS code: 2621)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50000Q0Q;44,67;19,05;384941,42700;5821383,60500;-
DEBE3D04YY50000K8V;24,08;10,39;384780,62900;5821079,20750;-
DEBE3D04YY50000Hvj;233,37;18,13;384520,85550;5821203,54600;-
DEBE3D04YY500001oc;269,35;19,38;384953,74200;5821256,61650;-


Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2522)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY500006hZ;3826,21;358,09;384453,24150;5821367,97950;-


Excluded 24 buildings from processing (reason: Unknown ALKIS code: 1610)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3DD5VIsisIlW;157,63;31,24;384647,80700;5821391,30400;-
DEBE3D04YY50002ce4;103,84;19,74;384726,40600;5821390,75550;-
DEBE3D04YY50002blu;386,23;117,21;384746,98950;5821366,22850;-
DEBE3DMqPy5lCdXJ;255,13;51,10;384640,36750;5821393,10250;-
DEBE3D04YY50002bgM;74,07;26,12;384649,14200;5821057,44900;-
DEBE3D04YY50002cpj;67,72;26,65;384673,51400;5821156,17600;-
DEBE3D04YY50002cOZ;23,41;4,80;384582,06600;5821063,96650;-
DEBE3DQnmTBL6l5z;3934,13;751,08;384685,28200;5821402,40700;-
DEBE3D04YY50002csr;29,19;1,59;384641,31500;5821251,77100;-
DEBE3DdDWoF3heRw;129,06;25,49;384643,83900;5821399,22750;-
DEBE3D04YY50002cra;71,60;27,65;384711,12250;5821128,44200;-
DEBE3D04YY50002c8e;455,48;98,62;384555,74800;5821357,20050;-
DEBE3D04YY50002cHI;91,73;17,69;384816,44200;5821200,39600;-
DEBE3D04YY50002buK;57,74;8,56;384581,74300;5821069,09550;-
DEBE3D04YY50002c4k;973,61;117,30;384552,44350;5821375,13800;-
DEBE3D04YY50002cwP;246,24;10,94;384795,10900;5821124,81050;-
DEBE3D04YY50002c6L;229,06;61,24;384727,62550;5821362,29050;-
DEBE3D04YY50002bun;229,00;55,65;384539,54350;5821386,70500;-
DEBE3D04YY50002bfr;166,27;7,65;384805,41500;5821160,16200;-
DEBE3D04YY50002cfN;4020,14;767,64;384682,08150;5821381,68250;-
DEBE3D04YY50002cDd;338,35;84,97;384716,12300;5821423,05000;-
DEBE3D04YY50002bV4;67,88;25,47;384688,30800;5821047,60350;-
DEBE3D04YY50002bbz;158,01;26,59;384722,87250;5821409,89200;-
DEBE3D04YY50002ccT;155,18;34,63;384742,77900;5821429,22500;-


Excluded 2 buildings from processing (reason: Building seems to be too low and has 0 storey.)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50002c1P;29,82;30,83;384696,76400;5821231,88550;-
DEBE3D04YY50002ciE;28,96;31,29;384733,78200;5821213,51850;-


Excluded 1 buildings from processing (reason: Unknown ALKIS code: 3095)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50000FCb;212,85;43,44;384647,04450;5821395,59600;-


Excluded 3 buildings from processing (reason: Unknown ALKIS code: 2460)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50000Bwg;812,73;227,43;384862,32750;5821029,84250;-
DEBE3D04YY50000M82;570,04;176,91;384877,84000;5821030,30250;-
DEBE3D04YY50000638;1157,24;488,97;384904,70150;5821103,24100;-


Excluded 314 buildings from processing (reason: Missing year of construction)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50002ce9;284,20;23,34;384997,76050;5821765,70850;-
DEBE3D04YY50002c1N;3054,02;250,20;385003,95750;5821710,99100;-
DEBE3DJS0S9Ie4qy;2610,29;157,10;384875,43650;5821944,52300;-
DEBE3Dfj3jmI5LLW;7753,51;483,94;384957,03250;5821565,38400;-
DEBE3DhxBbt2Hxdw;1531,15;93,19;384777,33500;5821959,98150;-
DEBE3DIknTtggxff;21,28;7,79;384452,45600;5821517,01100;-
DEBE3DtAnoBySros;93,72;34,87;384673,91650;5822000,38650;-
DEBE3D04YY50002d4g;76,51;20,66;384415,60850;5821533,78800;-
DEBE3Dy7oFE2wDXC;3,02;48,64;385057,17200;5821721,80350;-
DEBE3DE8Xpa05hks;3018,85;324,52;384105,35450;5822032,28350;-
DEBE3D04YY50002d5J;26,02;9,86;384668,96400;5821919,20650;-
