======================== Summary ========================

Excluded 17 buildings from processing (reason: Unknown ALKIS code: 2521)
Excluded 73 buildings from processing (reason: Unknown ALKIS code: 2520)
Excluded 2 buildings from processing (reason: Unknown ALKIS code: 2600)
Excluded 2 buildings from processing (reason: Unknown ALKIS code: 2621)
Excluded 8 buildings from processing (reason: Unknown ALKIS code: 2522)
Excluded 37 buildings from processing (reason: Unknown ALKIS code: 1610)
Excluded 1 buildings from processing (reason: Building volume is smaller than required (0.0 m³))
Excluded 731 buildings from processing (reason: Missing year of construction)
Excluded 9 buildings from processing (reason: Building seems to be too low and has 0 storey.)
Excluded 1 buildings from processing (reason: Heated area is too small)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2083)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 9998)
Excluded 6 buildings from processing (reason: Unknown ALKIS code: 2460)
Excluded 2 buildings from processing (reason: Unknown ALKIS code: 2462)
Excluded 2 buildings from processing (reason: Unknown ALKIS code: 1130)
Excluded 3 buildings from processing (reason: Unknown ALKIS code: 2000)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2010)
Excluded 14 buildings from processing (reason: Unknown ALKIS code: 2142)
Excluded 11 buildings from processing (reason: Unknown ALKIS code: 2054)
Excluded 2 buildings from processing (reason: Unknown ALKIS code: 2310)
Excluded 5 buildings from processing (reason: Unknown ALKIS code: 1000)
Excluded 8 buildings from processing (reason: Unknown ALKIS code: 2200)
Excluded 16 buildings from processing (reason: Unknown ALKIS code: 2100)


================ Excluded buildings lists ===============

Excluded 17 buildings from processing (reason: Unknown ALKIS code: 2521)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3DAudj60P5mj;40110,44;779,76;385409,41850;5820419,57150;-
DEBE3Dk79TPi6CPk;2198,49;81,87;385430,08000;5820360,26350;-
DEBE3Dt0TyoSkZGQ;3250,40;146,16;385445,28400;5820362,12950;-
DEBE3DC1o2CmjLge;3114,91;154,64;385286,98300;5820491,28100;-
DEBE3DsOE8qbLCXn;12910,88;649,66;385407,17500;5820447,70650;-
DEBE04YY50000PJ1_02;11274,07;697,51;385359,38900;5820383,73100;-
DEBE04YY50000PJ1_01;1768,88;109,25;385369,35900;5820383,75950;-
DEBE3Djlk9OJfmmT;69635,85;3547,06;385285,64800;5820464,16000;-
DEBE04YY50000PJ1_03;1950,73;131,59;385349,21550;5820382,48250;-
DEBE04YY500001dN_01;47784,16;1174,02;385411,87050;5820380,24600;-
UUID_e89630ad-97a9-4578-8f85-1cac5ee14832;2531,87;196,84;385360,61100;5820358,43400;-
UUID_28a12d95-56c5-4399-b821-873a52fc96e4;8,61;1,51;385464,08900;5820378,86550;-
DEBE04YY500002TA_01;81012,66;3763,05;385441,92400;5820413,66400;-
DEBE04YY500002TA_002;34767,72;1714,73;385437,49900;5820483,62400;-
DEBE04YY500002TA_001;7,43;1,37;385463,24500;5820391,34650;-
DEBE3DykavbXiAcF;529,12;25,18;385316,83550;5820488,73750;-
DEBE3DJbTJ0iFndI;2051,29;74,82;385460,41100;5820362,02700;-


Excluded 73 buildings from processing (reason: Unknown ALKIS code: 2520)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE04YY500001fB_01;7915,83;159,25;385302,97050;5820394,57500;-
DEBE3D04YY50000MFB;513,60;274,95;385500,32750;5820333,87600;-
DEBE04YY500001fB_04;12687,94;238,59;385339,39550;5820383,20050;-
DEBE04YY500001fB_06;850,74;15,88;385281,16000;5820352,15200;-
DEBE04YY50000B9M_007;297,67;13,30;385434,58100;5820529,30300;-
DEBE04YY500001fB_05;6995,95;111,28;385323,34800;5820385,90800;-
DEBE04YY500001fB_08;780,44;14,56;385339,24250;5820355,41350;-
DEBE04YY50000B9M_006;282,24;14,82;385440,63200;5820529,29150;-
DEBE04YY50000B9M_009;301,02;13,72;385428,24350;5820535,69750;-
DEBE04YY500001fB_07;44732,78;862,80;385309,59000;5820363,68750;-
DEBE04YY50000B9M_008;345,57;14,60;385422,04150;5820535,15750;-
DEBE04AL4tn00000_03;40,44;2,01;385212,16050;5820552,08600;-
DEBE04AL4tn00000_05;337,45;18,32;385164,28450;5820563,48100;-
DEBE04AL4tn00000_04;471,28;22,06;385164,29900;5820558,32750;-
UUID_58c5545f-2e29-4d99-ac34-0cd1cc8bd900;11897,30;253,17;385309,57100;5820379,43000;-
DEBE04YY500001fB_09;7022,02;111,65;385324,25200;5820369,93400;-
DEBE3DF65bKmo7wH;670,10;26,78;385393,14350;5820422,53800;-
DEBE3DAP5NibZiTv;12030,40;203,95;385328,16300;5820360,44450;-
DEBE3DDY6Gn919R2;6039,13;224,18;385391,79500;5820410,90800;-
DEBE3DJdB7JpEQDm;2623,25;43,87;385317,11150;5820372,52150;-
DEBE3DXFlDpWHr5L;2004,73;127,56;385413,35150;5820479,70650;-
DEBE3DzzYxMhPwbN;1960,83;33,10;385319,48200;5820405,69000;-
DEBE04YY50002Xum_01;1809,98;55,27;385531,04150;5820331,14150;-
DEBE3D04YY5000077d;830,48;184,35;385445,10050;5820331,99000;-
DEBE3DZRrSO6RBfj;10458,66;507,18;385182,94450;5820562,42400;-
DEBE3DwgLBsmtUJa;2937,32;222,62;385376,61900;5820455,80150;-
DEBE04YY500001fB_001;2728,81;40,62;385321,97850;5820406,25950;-
UUID_1a7d17ca-79f1-4e0b-9aa8-9484a68331c8;2245,39;195,05;385547,39150;5820324,91650;-
DEBE3DVM9GeyuTKv;4745,39;79,78;385323,79500;5820377,93350;-
DEBE3DZLaQTPFHxH;491,74;32,53;385411,79000;5820470,02350;-
DEBE3DxIC9y8HW4t;3494,44;57,72;385313,32000;5820377,22850;-
DEBE04YY50000B9M_0015;107,61;14,21;385439,71900;5820542,97800;-
DEBE3DeOjSs4qxU5;3026,03;52,55;385331,46550;5820406,56350;-
DEBE3DPiXbGux0Ww;11505,11;193,84;385333,57800;5820378,48950;-
DEBE3DGvxcZSgi0S;1142,08;46,17;385208,00250;5820567,38300;-
DEBE3D04YY50000LrX;3455,56;432,19;385468,33550;5820453,97600;-
DEBE04YY50000B9M_0013;285,57;12,77;385427,70600;5820542,57550;-
DEBE04YY50002Xum_02;2047,44;98,43;385523,70450;5820330,72000;-
DEBE3Dc88jGEowVu;10277,60;168,36;385312,47550;5820363,48550;-
DEBE04YY50000B9M_0014;310,63;13,40;385433,78750;5820542,86850;-
DEBE3DbFjGX2yrPr;3070,59;181,89;385391,00850;5820448,31000;-
DEBE04YY50000B9M_0011;321,60;13,88;385440,32150;5820536,54150;-
DEBE04YY50000B9M_0012;222,38;14,65;385421,69500;5820541,93800;-
UUID_13ba522a-bb74-4022-8321-78edbf9d556e;1505,65;91,88;385516,37300;5820332,08600;-
DEBE04YY50000B9M_0010;317,63;13,76;385434,19450;5820536,06450;-
DEBE3Dh53BqDbaum;1980,36;110,57;385401,17450;5820469,88400;-
DEBE3DezJbvYYhWl;661,16;30,02;385201,85000;5820566,42450;-
DEBE3DmdiA8WI7I8;368,02;41,66;385327,37200;5820521,72200;-
DEBE3DFPzhOGR4uw;533,74;25,25;385164,26800;5820568,25950;-
DEBE04YY50000FxA_01;2401,83;81,49;385541,96800;5820326,48050;-
DEBE3Dad3V1DowBL;6170,38;633,37;385335,54350;5820522,19900;-
DEBE04YY50000FxA_02;2386,24;81,43;385555,50900;5820322,81700;-
