## SimStadt DIN18599 Monthly Energy Balance
#
# Weather data source;meteonorm tmy3 file 2000-2009
# Location;Berlin
# Coordinate reference system;EPSG:25833
# Latitude;52,51;°
# Longitude;13,38;°
# Radiation model;meteonorm_Hay
# Calculation Mode;HEATING
# Consumer behaviour;IWU_NUTZUNG
#
# Building physics library;German Building Typology Library IWU (http://www.iwu.de)
# Building usage library;Building Usage Library (based on UsageLibrary.xlsx, sheet: Germany)
# Has custom building usage codes?;false
#
# SimStadt version;0.10.0-SNAPSHOT (master, rev. 6d7c707, 20230828)
# Created at;2024/08/27 19:02:46
# Cache version;7
#
GMLId;ParentGMLId;Latitude;Longitude;X-coordinate;Y-coordinate;LOD;Year of construction;Year of refurbishment;Refurbishment Variant;ALKIS code;PrimaryUsageZoneType;PrimaryUsageZoneArea;SecondaryUsageZoneType;SecondaryUsageZoneArea;BuildingType;Footprint area;Total wall thermal area above ground;Total wall thermal area below ground;Total outwall area;Total sharedwall area;Total roof area;Gross volume;Is Gross volume approximated?;Heated volume;Ridge/mean Height;Eaves/mean Height;Storey number;Average Storey Height;Number of households;Number of occupants;Attic Heating;Basement Heating;Basement ceiling height above ground;Surface area to volume ratio;Heated area;Mean Uvalue;Specific domestic hot water demand;Specific space heating demand;Total Yearly Heat+DHW demand;January Heating Demand;February Heating Demand;March Heating Demand;April Heating Demand;May Heating Demand;June Heating Demand;July Heating Demand;August Heating Demand;September Heating Demand;October Heating Demand;November Heating Demand;December Heating Demand
[-];[-];[°];[°];[?];[?];LOD;[YYYY];[YYYY];[-];[-];[-];[m²];[-];[m²];[-];[m²];[m²];[m²];[m²];[m²];[m²];[m³];[0/1];[m³];[m];[m];[-];[m];[-];[-];[-];[-];[m];[m⁻¹];[m²];[W/(m²·K)];[kWh/(m²·a)];[kWh/(m²·a)];[kWh/a];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh]
DEBE3DALveifqjjr;DEBE3D04YY500002eT;52,52906;13,30615;385096,64;5821232,12;LOD2;1905;;Original;1022;health care;281,3;none;0,0;HH;35,4;364,0;0,0;381,3;122,1;35,4;910,6;false;879,0;25,9;25,89;10;2,5;0;0;NO_ROOM;NOT_HEATED;0,9;0,491;281,3;1,59;155,5;227,2;107660;13486;10669;7781;3255;709;13;0;0;1113;4732;9233;12922
UUID_72b91406-0784-46b6-8563-0414a46e0fab;DEBE3D04YY50000RcL;52,53069;13,30587;385081,66;5821413,96;LOD2;1905;;Original;1010;residential;2304,4;none;0,0;HH;256,4;1606,3;0,0;1606,4;11,0;260,9;6589,2;false;6391,5;26,5;24,97;10;2,5;42;62;NOT_HEATED;NO_ROOM;0,0;0,322;2304,4;1,49;15,8;84,4;231061;44353;34319;21261;5475;664;7;0;0;1582;14121;29893;42884
DEBE3D04YY50000OcC;;52,52741;13,31349;385589,93;5821037,41;LOD2;1900;;Original;2120;industry;421,7;none;0,0;RH;263,8;296,2;0,0;296,2;42,2;265,7;1160,9;false;1160,9;5,0;4,96;2;2,5;0;0;NO_ROOM;NO_ROOM;0,0;0,711;421,7;1,13;32,9;61,8;39918;7204;5135;2227;177;0;0;0;0;1;624;3892;6802
DEBE3DBpY0xgLB3u;DEBE3D04YY500002eT;52,52899;13,30609;385092,06;5821225,24;LOD2;1905;;Original;1022;health care;454,1;none;0,0;HH;54,7;304,2;0,0;320,6;0,0;70,3;1473,7;true;1419,0;26,9;21,51;10;2,6;0;0;HEATED;NOT_HEATED;1,0;0,300;454,1;1,53;155,5;172,3;148870;16420;12976;9371;4111;1138;66;4;9;1460;5783;11125;15784
DEBE3D04YY50000I3M;;52,52938;13,30613;385095,68;5821268,37;LOD2;1905;;Original;1010;residential;3294,1;none;0,0;MFH;686,3;2746,0;0,0;2837,4;156,2;686,3;10633,1;false;10294,0;15,5;15,49;5;3,0;41;71;NO_ROOM;NOT_HEATED;0,5;0,396;3294,1;1,75;15,8;121,4;451946;92091;71061;43484;10322;805;1;0;0;2309;28683;62030;88982
DEBE3D04YY50000L9h;;52,52940;13,30493;385014,76;5821271,87;LOD2;1905;;Original;1010;residential;2770,6;none;0,0;MFH;636,6;1814,3;0,0;1868,3;0,0;765,4;8856,8;false;8658,1;15,3;12,01;5;3,0;35;60;HEATED;NOT_HEATED;0,3;0,369;2770,6;1,88;15,8;121,9;381599;77966;60208;36570;7845;524;0;0;0;1867;24412;53033;75288
DEBE3DGyS6UnYPbk;DEBE3D04YY50000O01;52,53027;13,30534;385044,70;5821368,46;LOD2;1905;;Original;1010;residential;1376,2;none;0,0;GMH;802,0;2146,2;0,0;2430,9;0,0;968,9;4953,4;false;4300,6;17,6;13,89;6;2,8;22;32;HEATED;NOT_HEATED;0,8;0,817;1376,2;1,80;15,8;215,6;318505;73285;55003;28802;5186;111;0;0;0;416;16555;46691;70658
DEBE3D04YY500001CZ;;52,52840;13,31125;385440,73;5821150,91;LOD2;1900;;Original;1010;residential;218,8;none;0,0;EFH;140,0;218,0;0,0;218,0;0,0;142,4;526,7;false;526,7;4,4;4,39;2;2,2;1;3;NO_ROOM;NO_ROOM;0,0;0,950;218,8;1,22;15,8;152,2;36764;7322;5751;3974;1396;167;0;0;0;290;2370;4970;7058
DEBE3D04YY50000OKi;;52,52769;13,31305;385560,94;5821069,82;LOD2;1900;;Original;2143;non-heated;203,0;none;0,0;RH;218,0;192,0;0,0;255,9;59,5;218,0;852,2;false;634,3;3,9;3,91;1;2,9;0;0;NO_ROOM;NOT_HEATED;1,0;0,812;203,0;1,14;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBE3D04YY50000F8S;;52,52730;13,31380;385610,55;5821024,47;LOD2;1900;;Original;2120;industry;1285,2;none;0,0;RH;936,4;448,0;0,0;558,5;124,1;950,6;5346,0;false;4409,5;7,0;3,74;2;3,0;0;0;HEATED;NOT_HEATED;1,0;0,457;1285,2;1,45;32,9;72,7;135690;25804;18434;7861;579;0;0;0;0;2;2208;14059;24512
DEBE3D04YY500003sF;;52,52775;13,31346;385589,14;5821075,70;LOD2;1900;;Original;2143;non-heated;390,7;none;0,0;RH;243,2;287,1;0,0;287,1;52,1;245,1;1221,0;false;1221,0;5,7;5,69;2;2,8;0;0;NO_ROOM;NO_ROOM;0,0;0,635;390,7;1,15;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBE04YY50000RcL_01;DEBE3D04YY50000RcL;52,53030;13,30588;385081,59;5821370,49;LOD2;1905;;Original;1010;residential;3363,3;none;0,0;MFH;700,7;2899,3;0,0;2899,3;143,6;700,7;10930,7;false;10510,3;15,6;15,60;5;3,0;42;82;NO_ROOM;NOT_HEATED;0,6;0,393;3363,3;1,76;15,8;122,8;466427;95479;73899;44604;10272;782;1;0;0;2276;29521;64122;92197
DEBE3DMzKRHcP8Sc;DEBE3D04YY50000O01;52,53054;13,30511;385030,05;5821398,93;LOD2;1905;;Original;1010;residential;377,3;none;0,0;GMH;67,1;345,2;0,0;369,9;0,0;82,7;1246,2;true;1179,1;18,4;15,01;6;2,9;6;13;HEATED;NOT_HEATED;1,0;0,416;377,3;1,88;15,8;120,9;51587;11174;8361;4258;737;47;0;0;0;128;2842;7201;10863
DEBE3DPoHWOmvcnP;DEBE3D04YY50000Qwb;52,52916;13,30547;385050,75;5821245,30;LOD2;1905;;Original;1010;residential;165,5;none;0,0;MFH;36,6;97,2;0,0;97,3;0,0;36,6;517,1;false;517,1;14,1;14,15;5;2,8;2;4;NO_ROOM;NO_ROOM;0,0;0,329;165,5;1,56;15,8;101,3;19385;3763;2948;1912;445;30;0;0;0;131;1304;2608;3623
DEBE3DZ8ERvENpWm;DEBE3D04YY50000Ll0;52,52746;13,31304;385559,27;5821043,17;LOD2;1900;;Original;2143;non-heated;2832,4;none;0,0;RH;1017,5;998,6;0,0;1065,5;0,0;1017,5;9565,4;false;8851,1;9,4;9,40;3;2,9;0;0;NO_ROOM;NOT_HEATED;0,7;0,324;2832,4;1,17;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBE3D04YY50000LLG;;52,52749;13,31373;385606,57;5821045,49;LOD2;1900;;Original;2143;non-heated;158,2;none;0,0;RH;108,3;82,4;0,0;82,9;111,8;109,9;494,5;false;494,5;5,2;5,24;2;2,6;0;0;NO_ROOM;NO_ROOM;0,0;0,608;158,2;1,03;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBE3Dgk39wv1dZL;DEBE3D04YY500002eT;52,52897;13,30594;385082,18;5821223,00;LOD2;1905;;Original;1022;health care;871,0;none;0,0;HH;108,3;960,3;0,0;974,3;0,0;108,3;2830,2;false;2721,9;26,1;26,14;10;2,5;0;0;NO_ROOM;NOT_HEATED;1,0;0,421;871,0;1,57;155,5;204,0;313147;38016;29816;21024;8786;2128;60;0;1;2882;12837;25569;36558
DEBE3DDaqLMEHbvS;DEBE3D04YY50000Ono;52,52991;13,30602;385089,94;5821327,10;LOD2;1905;;Original;1022;health care;587,4;none;0,0;GMH;93,7;513,0;0,0;533,0;0,0;93,7;1926,1;false;1835,7;20,6;20,57;7;2,8;0;0;NO_ROOM;NOT_HEATED;1,0;0,374;587,4;1,74;155,5;190,8;203428;24455;19263;13128;4669;872;16;0;1;1473;8227;16448;23517
DEBE3D04YY50000D8T;;52,52853;13,30687;385144,04;5821172,25;LOD2;1900;;Original;2523;industry;3,7;none;0,0;EFH;4,0;12,1;0,0;12,2;0,0;4,0;5,8;false;5,8;1,5;1,46;1;1,5;0;0;NO_ROOM;NO_ROOM;0,0;3,459;3,7;1,43;32,9;177,6;786;186;134;61;4;0;0;0;0;0;9;95;175
