BuildingID,yearOfConstruction
attribute_type,bldg
DEBE3D04YY50000Hvj,1925
DEBE3D04YY50000OO9,1925
DEBE3D04YY50000OXV,1925
DEBE3D04YY50000Bmu,1925
DEBE3D04YY500005Wi,1925
DEBE3D04YY50000RPu,1925
DEBE3D04YY50000IUG,1925
DEBE3D04YY500001bt,1925
DEBE3D04YY50000D1C,1925
DEBE3D04YY50000OwU,1925
DEBE3D04YY50002csr,1925
DEBE3D04YY500001Un,1925
DEBE3D04YY50002cra,1925
DEBE3D04YY500004K2,1925
DEBE3D04YY50002cpj,1925
DEBE3D04YY50002cHI,1955
DEBE3D04YY500001Fz,1955
DEBE3D04YY50000BTD,1955
DEBE3D04YY500004PP,1955
DEBE3D04YY50000Bwg,1955
DEBE3D04YY500008bB,1955
DEBE3D04YY500002Wm,1955
DEBE3D04YY50000K8V,1955
DEBE3D04YY50000M9T,1955
DEBE3D04YY50002cwP,1955
DEBE3D04YY500003jz,1955
DEBE3D04YY50000M82,1955
DEBE3D04YY50000638,1955
DEBE3D04YY50000DVW,1955
DEBE3D04YY50000MYe,1955
DEBE3D04YY50000435,1955
DEBE3D04YY50000HmC,1955
DEBE3D04YY50002bfr,1955
DEBE3D04YY500001V3,1955
DEBE3D04YY500001z6,1955
DEBE3D04YY5000023o,1905
DEBE3D04YY5000044Q,1905
DEBE3D04YY50000Q0Q,1905
DEBE3D04YY500001oc,1905
DEBE3D04YY50000AVo,1905
DEBE3D04YY500004Tf,1905
DEBE3D04YY5000030F,1905
DEBE3D04YY50000L9K,1905
DEBE3D04YY50002ce4,1905
DEBE3D04YY50002cDd,1905
DEBE3D04YY50000PY7,1905
DEBE3D04YY50000FCb,1905
DEBE3D04YY50002c4k,1905
DEBE3D04YY500007pI,1905
DEBE3D04YY50002blu,1905
DEBE3D04YY50002ccT,1905
DEBE3D04YY50002c6L,1905
DEBE3D04YY50002bun,1905
DEBE3D04YY500006hZ,1905
DEBE3D04YY50002bbz,1905
DEBE3D04YY50002cfN,1905
DEBE3D04YY50002cCo,1905
DEBE3D04YY50002c8e,1905
DEBE3D04YY50000JHW,1925
DEBE3D04YY500004wz,1925
DEBE3D04YY50002cOZ,1925
DEBE3D04YY50002buK,1925
DEBE3D04YY50000PDF,1925
DEBE3D04YY50000OIJ,1955
DEBE3D04YY5000087t,1955
DEBE3D04YY50000Ro9,1955
DEBE3D04YY50000PWj,1955
DEBE3D04YY50000D7w,1935
DEBE3D04YY50002bV4,1925
DEBE3D04YY50002bgM,1925
DEBE3D04YY500003fU,1925
DEBE3D04YY50002c1P,1925
DEBE3D04YY50000REP,1925
DEBE3D04YY50000CDP,1925
DEBE3D04YY50002ciE,1925
DEBE3D04YY50000QGI,1955
