Index;Consumption [kWh/h]
1;4164,76
2;4160,76
3;4159,87
4;4152,23
5;4147,43
6;4144,87
7;4142,50
8;4130,89
9;4129,85
10;4127,65
11;4123,54
12;4122,32
13;4119,81
14;4117,76
15;4115,89
16;4113,81
17;4109,77
18;4107,72
19;4105,73
20;4104,31
21;4103,89
22;4102,75
23;4102,52
24;4101,95
25;4100,67
26;4100,46
27;4100,03
28;4098,68
29;4097,47
30;4095,84
31;4094,35
32;4094,33
33;4092,91
34;4090,49
35;4090,42
36;4090,16
37;4089,68
38;4089,15
39;4087,04
40;4085,75
41;4085,12
42;4083,66
43;4083,40
44;4083,07
45;4082,09
46;4079,59
47;4079,50
48;4079,28
49;4078,98
50;4077,91
51;4077,11
52;4075,51
53;4074,77
54;4074,48
55;4074,15
56;4070,03
57;4068,65
58;4066,85
59;4066,75
60;4065,09
61;4063,42
62;4061,47
63;4060,87
64;4058,11
65;4055,45
66;4054,75
67;4051,33
68;4050,96
69;4050,08
70;4049,67
71;4046,57
72;4045,89
73;4045,86
74;4045,33
75;4043,22
76;4043,08
77;4042,01
78;4041,32
79;4040,29
80;4038,65
81;4038,41
82;4037,96
83;4036,76
84;4034,98
85;4034,67
86;4034,11
87;4033,57
88;4032,20
89;4031,75
90;4031,29
91;4029,35
92;4027,42
93;4026,34
94;4025,77
95;4025,31
96;4025,28
97;4025,18
98;4024,97
99;4024,07
100;4023,22
101;4022,94
102;4022,79
103;4022,08
104;4021,70
105;4020,53
106;4020,34
107;4018,92
108;4018,84
109;4018,75
110;4017,81
111;4014,54
112;4013,17
113;4010,49
114;4010,04
115;4008,69
116;4005,57
117;4004,69
118;4004,32
119;4004,05
120;4002,57
121;3997,42
122;3995,79
123;3994,95
124;3990,82
125;3981,28
126;3954,28
127;3773,49
128;3768,80
129;3767,99
130;3764,90
131;3764,04
132;3763,27
133;3762,48
134;3758,95
135;3755,24
136;3755,24
137;3752,62
138;3750,93
139;3747,57
140;3746,62
141;3746,52
142;3746,04
143;3745,86
144;3745,03
145;3744,69
146;3744,63
147;3744,31
148;3743,30
149;3743,09
150;3740,60
151;3740,31
152;3740,15
153;3739,87
154;3739,39
155;3738,99
156;3738,93
157;3738,03
158;3737,08
159;3736,76
160;3736,57
161;3735,80
162;3735,62
163;3734,30
164;3734,19
165;3734,03
166;3734,00
167;3733,41
168;3733,07
169;3730,68
170;3730,52
171;3727,50
172;3727,12
173;3727,10
174;3726,43
175;3726,31
176;3726,23
177;3723,92
178;3723,75
179;3723,56
180;3722,75
181;3721,86
182;3721,37
183;3720,87
184;3720,20
185;3719,40
186;3718,58
187;3716,30
188;3716,26
189;3714,90
190;3714,51
191;3713,46
192;3711,59
193;3710,09
194;3709,73
195;3709,70
196;3709,60
197;3708,27
198;3707,97
199;3707,91
200;3707,69
201;3707,11
202;3707,10
203;3706,76
204;3706,03
205;3703,82
206;3703,56
207;3702,35
208;3701,41
209;3700,70
210;3700,69
211;3700,61
212;3700,18
213;3700,08
214;3699,25
215;3697,90
216;3697,13
217;3696,91
218;3696,77
219;3696,65
220;3696,50
221;3696,21
222;3695,21
223;3693,90
224;3693,29
225;3693,14
226;3692,87
227;3690,70
228;3689,71
229;3689,49
230;3686,11
231;3683,34
232;3679,69
233;3679,68
234;3679,39
235;3677,74
236;3676,82
237;3676,69
238;3675,86
239;3675,83
240;3674,13
241;3672,88
242;3672,67
243;3671,91
244;3669,97
245;3668,20
246;3666,79
247;3659,60
248;3658,85
249;3652,68
250;3652,06
251;3650,16
252;3650,14
253;3645,05
254;3628,80
255;3625,88
256;3623,77
257;3621,88
258;3611,63
259;3607,21
260;3605,04
261;3604,53
262;3600,96
263;3598,97
264;3597,23
265;3596,47
266;3595,33
267;3594,89
268;3593,53
269;3592,94
270;3589,67
271;3585,01
272;3582,25
273;3581,09
274;3579,57
275;3576,02
276;3574,54
277;3574,40
278;3572,80
279;3572,50
280;3572,37
281;3572,31
282;3568,47
283;3568,37
284;3565,34
285;3565,05
286;3564,81
287;3563,50
288;3562,59
289;3562,27
290;3561,38
291;3560,95
292;3559,94
293;3559,50
294;3558,56
295;3558,18
296;3556,89
297;3554,70
298;3552,87
299;3552,11
300;3550,22
301;3548,89
302;3547,43
303;3546,99
304;3546,61
305;3546,25
306;3545,17
307;3544,95
308;3544,94
309;3544,64
310;3543,66
311;3542,55
312;3541,51
313;3541,48
314;3540,70
315;3540,63
316;3540,52
317;3539,51
318;3539,25
319;3538,32
320;3538,26
321;3538,01
322;3537,76
323;3537,24
324;3536,94
325;3536,86
326;3536,65
327;3536,48
328;3536,31
329;3535,85
330;3535,59
331;3535,31
332;3534,04
333;3533,73
334;3533,13
335;3532,53
336;3531,90
337;3531,65
338;3531,59
339;3531,41
340;3531,24
341;3530,44
342;3530,31
343;3529,25
344;3529,23
345;3528,98
346;3528,77
347;3528,15
348;3528,12
349;3527,91
350;3527,43
351;3527,36
352;3526,48
353;3526,32
354;3525,86
355;3525,51
356;3525,29
357;3525,26
358;3523,50
359;3523,06
360;3522,38
361;3522,17
362;3521,10
363;3520,64
364;3520,48
365;3519,88
366;3519,32
367;3518,34
368;3517,92
369;3517,86
370;3517,77
371;3517,70
372;3517,32
373;3516,55
374;3516,52
375;3516,44
376;3515,67
377;3515,34
378;3515,02
379;3514,99
380;3514,90
381;3514,83
382;3514,76
383;3514,63
384;3514,52
385;3514,50
386;3513,99
387;3513,97
388;3513,74
389;3513,55
390;3512,93
391;3512,90
392;3512,55
393;3512,41
394;3512,29
395;3512,15
396;3512,10
397;3511,76
398;3511,59
399;3511,42
400;3510,85
401;3510,58
402;3510,08
403;3509,99
404;3509,64
405;3509,55
406;3509,55
407;3509,38
408;3509,29
409;3508,22
410;3508,12
411;3507,73
412;3507,41
413;3507,25
414;3506,79
415;3506,58
416;3506,17
417;3506,04
418;3505,76
419;3505,74
420;3505,56
421;3505,47
422;3505,38
423;3505,14
424;3505,08
425;3504,78
426;3504,54
427;3504,51
428;3504,43
429;3503,68
430;3503,65
431;3503,34
432;3502,53
433;3501,61
434;3501,52
435;3501,43
436;3500,75
437;3500,73
438;3500,19
439;3500,15
440;3497,59
441;3497,43
442;3496,99
443;3496,94
444;3496,83
445;3494,51
446;3494,10
447;3493,47
448;3493,31
449;3493,25
450;3493,12
451;3491,63
452;3490,82
453;3490,47
454;3490,04
455;3489,97
456;3489,84
457;3489,73
458;3489,16
459;3489,12
460;3488,53
461;3488,00
462;3487,80
463;3486,88
464;3486,58
465;3485,93
466;3484,94
467;3484,83
468;3484,70
469;3484,40
470;3484,37
471;3483,76
472;3482,90
473;3482,86
474;3482,49
475;3482,40
476;3480,47
477;3480,11
478;3478,85
479;3478,27
480;3477,10
481;3476,25
482;3474,49
483;3473,30
484;3472,63
485;3471,79
486;3471,79
487;3471,69
488;3471,56
489;3468,06
490;3467,84
491;3466,88
492;3466,58
493;3466,44
494;3466,30
495;3465,99
496;3465,15
497;3463,44
498;3461,32
499;3458,87
500;3452,87
501;3452,58
502;3452,37
503;3452,32
504;3452,06
505;3449,35
506;3441,23
507;3439,75
508;3433,21
509;3416,91
510;3412,75
511;3412,47
512;3406,49
513;3403,62
514;3402,19
515;3399,17
516;3394,14
517;3393,54
518;3391,41
519;3390,61
520;3389,93
521;3389,65
522;3386,68
523;3386,41
524;3385,44
525;3385,24
526;3383,50
527;3383,34
528;3381,94
529;3381,83
530;3380,21
531;3378,86
532;3378,69
533;3378,05
534;3376,47
535;3375,97
536;3374,90
537;3374,35
538;3373,75
539;3373,73
540;3373,16
541;3372,36
542;3372,22
543;3371,41
544;3370,91
545;3370,22
546;3370,04
547;3369,35
548;3369,30
549;3369,06
550;3368,78
551;3366,61
552;3366,01
553;3365,98
554;3364,58
555;3364,38
556;3362,76
557;3362,44
558;3361,58
559;3359,07
560;3359,02
561;3357,73
562;3355,70
563;3354,60
564;3353,36
565;3353,26
566;3352,93
567;3352,48
568;3352,46
569;3352,27
570;3351,69
571;3350,21
572;3350,21
573;3350,02
574;3347,64
575;3346,84
576;3346,14
577;3345,68
578;3345,08
579;3344,89
580;3344,35
581;3343,08
582;3342,74
583;3342,53
