## SimStadt DIN18599 Monthly Energy Balance
#
# Weather data source;PVGIS v5_1 - SARAH - From 2005 to 2016 hourly interpolated with Insel
# Location;N52_6__E13_4
# Coordinate reference system;EPSG:25833
# Latitude;52,53;°
# Longitude;13,31;°
# Radiation model;pvgis_SARAH_2005_2016_Hay
# Calculation Mode;HEATING
# Consumer behaviour;IWU_NUTZUNG
#
# Building physics library;German Building Typology Library IWU (http://www.iwu.de)
# Building usage library;Building Usage Library (based on UsageLibrary.xlsx, sheet: Germany)
# Has custom building usage codes?;false
#
# SimStadt version;0.10.0-SNAPSHOT (master, rev. 6d7c707, 20230828)
# Created at;2024/08/08 15:59:15
# Cache version;7
#
GMLId;ParentGMLId;Latitude;Longitude;X-coordinate;Y-coordinate;LOD;Year of construction;Year of refurbishment;Refurbishment Variant;ALKIS code;PrimaryUsageZoneType;PrimaryUsageZoneArea;SecondaryUsageZoneType;SecondaryUsageZoneArea;BuildingType;Footprint area;Total wall thermal area above ground;Total wall thermal area below ground;Total outwall area;Total sharedwall area;Total roof area;Gross volume;Is Gross volume approximated?;Heated volume;Ridge/mean Height;Eaves/mean Height;Storey number;Average Storey Height;Number of households;Number of occupants;Attic Heating;Basement Heating;Basement ceiling height above ground;Surface area to volume ratio;Heated area;Mean Uvalue;Specific domestic hot water demand;Specific space heating demand;Total Yearly Heat+DHW demand;January Heating Demand;February Heating Demand;March Heating Demand;April Heating Demand;May Heating Demand;June Heating Demand;July Heating Demand;August Heating Demand;September Heating Demand;October Heating Demand;November Heating Demand;December Heating Demand
[-];[-];[°];[°];[?];[?];LOD;[YYYY];[YYYY];[-];[-];[-];[m²];[-];[m²];[-];[m²];[m²];[m²];[m²];[m²];[m²];[m³];[0/1];[m³];[m];[m];[-];[m];[-];[-];[-];[-];[m];[m⁻¹];[m²];[W/(m²·K)];[kWh/(m²·a)];[kWh/(m²·a)];[kWh/a];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh]
DEBE3D04YY500007M4;;52,52856;13,31104;385426,79;5821169,57;LOD2;1900;;Original;1010;residential;58,9;none;0,0;EFH;70,9;123,5;0,0;137,0;0,0;70,9;210,5;false;184,1;3,0;2,97;1;2,6;1;2;NO_ROOM;NOT_HEATED;0,4;1,325;58,9;1,32;15,8;270,0;16840;3696;3023;2205;517;2;0;0;0;0;917;2295;3252
DEBE3DuWWifsvqMj;DEBE3D04YY500002eT;52,52900;13,30619;385099,22;5821225,91;LOD2;1905;;Original;1022;health care;468,9;none;0,0;HH;58,6;454,1;0,0;477,9;0,0;58,7;1517,7;true;1465,4;25,9;25,89;10;2,5;0;0;NO_ROOM;NOT_HEATED;0,9;0,387;468,9;1,55;155,5;190,7;162349;19323;15957;12366;4500;892;13;0;0;684;6097;12460;17126
DEBE3DqcmlXqm9C0;DEBE3D04YY50000Ono;52,52997;13,30601;385089,21;5821333,79;LOD2;1905;;Original;1022;health care;213,9;none;0,0;GMH;34,3;321,5;0,0;338,6;0,0;34,4;683,0;false;668,4;20,0;20,03;7;2,8;0;0;NO_ROOM;NOT_HEATED;0,4;0,582;213,9;1,84;155,5;242,8;85191;11651;9515;7036;2059;181;0;0;0;170;3451;7487;10376
DEBE3DgZbme1ZMDW;DEBE3D04YY50000Qwb;52,52903;13,30544;385048,20;5821229,95;LOD2;1905;;Original;1010;residential;1525,4;none;0,0;MFH;337,4;995,9;0,0;995,9;0,0;337,4;4766,8;false;4766,8;14,1;14,13;5;2,8;19;38;NO_ROOM;NO_ROOM;0,0;0,350;1525,4;1,60;15,8;104,1;183027;36408;29533;21155;4769;213;0;0;0;227;10328;23664;32569
DEBE3DH4KoiV2J9S;DEBE3D04YY50000Ll0;52,52747;13,31332;385578,79;5821044,57;LOD2;1900;;Original;2143;non-heated;279,0;none;0,0;EFH;77,0;238,2;0,0;240,0;0,0;77,0;720,6;false;720,6;9,4;9,36;4;2,3;0;0;NO_ROOM;NO_ROOM;0,0;0,544;279,0;1,44;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBE3D04YY50000QZa;;52,52770;13,31327;385575,74;5821070,30;LOD2;1900;;Original;2143;non-heated;123,0;none;0,0;RH;82,5;88,6;0,0;91,0;112,1;83,4;395,8;false;384,3;5,9;5,94;2;2,9;0;0;NO_ROOM;NOT_HEATED;0,1;0,649;123,0;1,19;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBE3DMBulzfbjdu;DEBE3D04YY50000Qwb;52,52944;13,30551;385054,02;5821276,11;LOD2;1905;;Original;1010;residential;2895,1;none;0,0;MFH;643,7;1862,4;0,0;1862,4;0,0;643,7;9047,1;false;9047,1;14,1;14,05;5;2,8;36;78;NO_ROOM;NO_ROOM;0,0;0,348;2895,1;1,59;15,8;106,3;353661;69346;56679;41483;9929;440;0;0;0;581;21388;45744;62211
DEBE3DLbTqBL7mY1;DEBE3D04YY50000Ono;52,52987;13,30584;385077,28;5821322,76;LOD2;1905;;Original;1022;health care;823,3;none;0,0;GMH;131,3;864,4;0,0;899,7;0,0;131,3;2696,1;false;2572,7;20,5;20,54;7;2,8;0;0;NO_ROOM;NOT_HEATED;0,9;0,431;823,3;1,78;155,5;197,5;290598;36521;29745;22034;6863;853;2;0;0;653;10304;23174;32410
DEBE3D04YY500005Q9;;52,52798;13,31039;385381,46;5821105,29;LOD2;1900;;Original;1010;residential;10,3;none;0,0;EFH;12,4;37,4;0,0;37,4;0,0;12,4;32,4;false;32,2;2,6;2,62;1;2,6;1;1;NO_ROOM;NOT_HEATED;0,0;1,922;10,3;1,47;15,8;345,8;3726;870;702;484;85;0;0;0;0;0;158;510;756
