Index;Consumption [kWh/h]
456;10510,53
457;10510,39
458;10509,32
459;10506,95
460;10505,99
461;10505,60
462;10504,80
463;10503,57
464;10503,51
465;10502,78
466;10502,39
467;10500,21
468;10499,98
469;10499,80
470;10499,36
471;10498,53
472;10497,67
473;10494,37
474;10493,96
475;10493,63
476;10493,39
477;10493,36
478;10492,90
479;10491,48
480;10491,23
481;10491,12
482;10490,07
483;10489,96
484;10487,26
485;10486,92
486;10486,56
487;10484,32
488;10482,84
489;10482,81
490;10481,63
491;10481,14
492;10481,06
493;10480,95
494;10479,85
495;10479,79
496;10478,67
497;10476,52
498;10476,03
499;10475,16
500;10474,95
501;10471,15
502;10470,17
503;10463,91
504;10462,97
505;10462,88
506;10461,71
507;10460,79
508;10460,29
509;10460,25
510;10459,72
511;10458,79
512;10453,48
513;10453,36
514;10449,47
515;10449,44
516;10447,68
517;10444,41
518;10443,08
519;10441,23
520;10418,37
521;10413,11
522;10407,92
523;10396,81
524;10372,61
525;10351,45
526;10350,78
527;10323,70
528;10155,10
529;10153,42
530;10151,39
531;10144,41
532;10142,12
533;10140,92
534;10129,67
535;10129,55
536;10127,85
537;10124,54
538;10120,88
539;10118,13
540;10116,81
541;10116,25
542;10112,24
543;10110,24
544;10108,45
545;10108,27
546;10107,96
547;10107,63
548;10107,17
549;10101,26
550;10100,01
551;10098,10
552;10096,92
553;10096,78
554;10094,94
555;10092,99
556;10092,40
557;10090,88
558;10089,76
559;10089,23
560;10087,00
561;10086,03
562;10085,52
563;10081,12
564;10079,38
565;10076,52
566;10076,46
567;10076,35
568;10076,00
569;10072,77
570;10072,31
571;10069,35
572;10068,16
573;10067,55
574;10067,39
575;10067,26
576;10066,24
577;10065,94
578;10065,62
579;10064,87
580;10064,47
581;10062,04
582;10060,65
583;10060,57
584;10060,06
585;10058,96
586;10058,08
587;10057,88
588;10056,45
589;10054,19
590;10053,98
591;10052,36
592;10051,79
593;10051,63
594;10048,75
595;10047,99
596;10047,73
597;10046,56
598;10045,70
599;10043,90
600;10042,47
601;10041,40
602;10041,13
603;10041,07
604;10040,05
605;10040,02
606;10039,58
607;10039,55
608;10037,25
609;10036,37
610;10035,47
611;10031,10
612;10030,07
613;10029,42
614;10029,22
615;10028,84
616;10028,40
617;10026,81
618;10026,40
619;10025,03
620;10024,01
621;10023,85
622;10023,34
623;10020,36
624;10019,64
625;10019,28
626;10017,76
627;10014,51
628;10012,09
629;10011,99
630;10010,93
631;10008,92
632;10006,28
633;10006,20
634;10006,14
635;10003,63
636;10002,30
637;10001,43
638;10000,84
639;9996,76
640;9996,31
641;9996,22
642;9995,40
643;9994,84
644;9987,08
645;9983,53
646;9980,43
647;9975,92
648;9975,85
649;9972,86
650;9969,07
651;9962,96
652;9953,47
653;9953,15
654;9939,57
655;9937,26
656;9920,80
657;9885,96
658;9831,28
659;9726,77
660;9717,12
661;9707,19
662;9691,22
663;9690,53
664;9686,30
665;9684,32
666;9675,97
667;9675,30
668;9672,36
669;9669,36
670;9665,75
671;9662,19
672;9661,63
673;9661,42
674;9652,02
675;9650,75
676;9637,38
677;9636,93
678;9627,45
679;9626,18
680;9623,49
681;9621,39
682;9621,34
683;9620,95
684;9617,40
685;9617,31
686;9616,72
687;9613,70
688;9612,89
689;9610,75
690;9610,57
691;9604,85
692;9604,06
693;9602,58
694;9602,21
695;9601,91
696;9601,77
697;9601,52
698;9600,57
699;9596,97
700;9595,51
701;9595,23
702;9592,10
703;9589,03
704;9588,74
705;9587,90
706;9582,47
707;9579,96
708;9578,21
709;9573,13
710;9569,36
711;9562,70
712;9561,09
713;9559,33
714;9557,10
715;9555,95
716;9555,10
717;9542,01
718;9540,40
719;9536,40
720;9532,34
721;9530,31
722;9529,75
723;9503,51
724;9486,69
725;9476,23
726;9473,31
727;9472,97
728;9468,69
729;9466,16
730;9456,94
731;9454,53
732;9453,72
733;9445,85
734;9444,16
735;9437,38
736;9435,52
737;9435,00
738;9434,58
739;9433,28
740;9427,41
741;9427,11
742;9425,77
743;9420,66
744;9418,90
745;9418,07
746;9417,22
747;9415,70
748;9413,21
749;9412,99
750;9412,96
751;9412,40
752;9410,22
753;9409,68
754;9407,64
755;9407,11
756;9405,25
757;9404,79
758;9403,40
759;9400,29
760;9399,92
761;9399,01
762;9398,79
763;9398,41
764;9397,17
765;9396,60
766;9396,47
767;9396,08
768;9394,98
769;9394,84
