blknr,bez,bezname,plr,blktypname,ewk,area,datum,ueberw_dek,freistehen,doppelhaus,gereihtes,anderertyp,x_bis_1900,x1901_1910,x1911_1920,x1921_1930,x1931_1940,x1941_1950,x1951_1960,x1961_1970,x1971_1980,x1981_1990,x1991_2000,x2001_2010,x2011_2015,ew2015,typ,typklar
"020036","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,14272.669921875000000,1993/06/30 00:00:00.000,1921-1930,1.000000000000000,,27.000000000000000,4.000000000000000,,,6.000000000000000,23.000000000000000,,,3.000000000000000,,,,,,,691.000000000000000,10.000000000000000,"Blockrandbebauung mit Großhöfen (1920er-1940er), 3–5-geschossig"
"020037","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,11607.428710937500000,1993/06/30 00:00:00.000,1951-1960,1.000000000000000,1.000000000000000,13.000000000000000,2.000000000000000,1.000000000000000,2.000000000000000,,4.000000000000000,1.000000000000000,,8.000000000000000,,,1.000000000000000,,,,466.000000000000000,10.000000000000000,"Blockrandbebauung mit Großhöfen (1920er-1940er), 3–5-geschossig"
"020038","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,10734.874023437500000,1993/06/30 00:00:00.000,gemischte Baualtersklasse,5.000000000000000,,19.000000000000000,1.000000000000000,7.000000000000000,2.000000000000000,7.000000000000000,,,1.000000000000000,3.000000000000000,2.000000000000000,1.000000000000000,2.000000000000000,,,,667.000000000000000,2.000000000000000,"Geschlossene Blockbebauung, Hinterhof (1870er-1918), 5-geschossig"
"020039","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,13377.912109375000000,1993/06/30 00:00:00.000,1901-1910,1.000000000000000,,10.000000000000000,11.000000000000000,3.000000000000000,13.000000000000000,2.000000000000000,,,,2.000000000000000,,1.000000000000000,,1.000000000000000,,,604.000000000000000,2.000000000000000,"Geschlossene Blockbebauung, Hinterhof (1870er-1918), 5-geschossig"
"020040","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,8999.685546875000000,1993/11/10 00:00:00.000,1901-1910,2.000000000000000,,10.000000000000000,6.000000000000000,3.000000000000000,8.000000000000000,5.000000000000000,1.000000000000000,1.000000000000000,,,,,,,,,458.000000000000000,2.000000000000000,"Geschlossene Blockbebauung, Hinterhof (1870er-1918), 5-geschossig"
"020041","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,9360.779296875000000,1993/11/10 00:00:00.000,1901-1910,1.000000000000000,,17.000000000000000,1.000000000000000,3.000000000000000,13.000000000000000,1.000000000000000,,,,,2.000000000000000,,,,,,456.000000000000000,2.000000000000000,"Geschlossene Blockbebauung, Hinterhof (1870er-1918), 5-geschossig"
"020042","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,17651.447265625000000,1993/07/01 00:00:00.000,1901-1910,,,22.000000000000000,5.000000000000000,6.000000000000000,15.000000000000000,5.000000000000000,,,,,1.000000000000000,,,,,,913.000000000000000,1.000000000000000,"Dichte Blockbebauung, geschlossener Hinterhof (1870er-1918), 5-6-geschossig"
"020043","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,15406.279296875000000,1993/07/01 00:00:00.000,1901-1910,3.000000000000000,,19.000000000000000,5.000000000000000,3.000000000000000,13.000000000000000,6.000000000000000,1.000000000000000,,,2.000000000000000,2.000000000000000,,,,,,654.000000000000000,2.000000000000000,"Geschlossene Blockbebauung, Hinterhof (1870er-1918), 5-geschossig"
"020044","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,11569.536132812501819,1993/07/01 00:00:00.000,1901-1910,,2.000000000000000,24.000000000000000,4.000000000000000,9.000000000000000,15.000000000000000,2.000000000000000,1.000000000000000,,,,,,2.000000000000000,1.000000000000000,,,675.000000000000000,1.000000000000000,"Dichte Blockbebauung, geschlossener Hinterhof (1870er-1918), 5-6-geschossig"
"020045","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,10011.813476562500000,1993/06/30 00:00:00.000,1901-1910,,1.000000000000000,14.000000000000000,2.000000000000000,1.000000000000000,7.000000000000000,,,,1.000000000000000,5.000000000000000,3.000000000000000,,,,,,444.000000000000000,2.000000000000000,"Geschlossene Blockbebauung, Hinterhof (1870er-1918), 5-geschossig"
