Time;Hour of the year;Hour;Ambient temperature;Daily temperature;Hourly demand;Load Duration Curve
[yyyy-MM-dd HH:mm:ss];[hoy];[h];[°C];[°C];[kWh/h];[kWh/h]
2005-01-01 00:00:00;0;0;-0,3;3,0;3372,3;5959,3
2005-01-01 01:00:00;1;1;-0,5;3,0;3412,3;5955,0
2005-01-01 02:00:00;2;2;-0,3;3,0;3370,8;5916,8
2005-01-01 03:00:00;3;3;-0,3;3,0;3379,9;5914,7
2005-01-01 04:00:00;4;4;-0,4;3,0;3395,7;5906,9
2005-01-01 05:00:00;5;5;-0,4;3,0;3409,4;5834,2
2005-01-01 06:00:00;6;6;-0,4;3,0;3400,4;5827,7
2005-01-01 07:00:00;7;7;0,7;3,0;3987,7;5812,1
2005-01-01 08:00:00;8;8;0,9;3,0;3943,5;5811,2
2005-01-01 09:00:00;9;9;1,4;3,0;3855,3;5807,2
2005-01-01 10:00:00;10;10;2,7;3,0;3575,5;5762,4
2005-01-01 11:00:00;11;11;4,0;3,0;3316,4;5743,3
2005-01-01 12:00:00;12;12;4,9;3,0;3126,9;5742,3
2005-01-01 13:00:00;13;13;5,7;3,0;2976,8;5722,6
2005-01-01 14:00:00;14;14;5,9;3,0;2932,0;5704,5
2005-01-01 15:00:00;15;15;5,9;3,0;2930,3;5696,2
2005-01-01 16:00:00;16;16;5,5;3,0;3008,4;5647,7
2005-01-01 17:00:00;17;17;5,2;3,0;3073,6;5638,1
2005-01-01 18:00:00;18;18;5,6;3,0;3000,3;5637,1
2005-01-01 19:00:00;19;19;5,2;3,0;3080,4;5619,7
2005-01-01 20:00:00;20;20;5,0;3,0;3118,1;5612,7
2005-01-01 21:00:00;21;21;5,5;3,0;3012,1;5611,7
2005-01-01 22:00:00;22;22;5,0;3,0;3122,9;5611,2
2005-01-01 23:00:00;23;23;4,9;3,0;3144,3;5604,3
2005-01-02 00:00:00;24;0;4,7;4,3;2361,9;5585,6
2005-01-02 01:00:00;25;1;4,6;4,3;2387,4;5583,5
2005-01-02 02:00:00;26;2;4,3;4,3;2442,6;5579,4
2005-01-02 03:00:00;27;3;4,1;4,3;2473,2;5576,8
2005-01-02 04:00:00;28;4;4,0;4,3;2509,0;5544,3
2005-01-02 05:00:00;29;5;3,4;4,3;2622,0;5539,9
2005-01-02 06:00:00;30;6;3,4;4,3;2631,3;5539,8
2005-01-02 07:00:00;31;7;3,6;4,3;3408,1;5535,8
2005-01-02 08:00:00;32;8;3,9;4,3;3331,8;5533,6
2005-01-02 09:00:00;33;9;4,4;4,3;3229,8;5533,5
2005-01-02 10:00:00;34;10;5,5;4,3;3014,3;5513,7
2005-01-02 11:00:00;35;11;5,0;4,3;3112,2;5500,2
2005-01-02 12:00:00;36;12;4,8;4,3;3164,2;5497,7
2005-01-02 13:00:00;37;13;5,1;4,3;3089,6;5456,1
2005-01-02 14:00:00;38;14;5,2;4,3;3077,0;5445,9
2005-01-02 15:00:00;39;15;5,1;4,3;3091,7;5431,9
2005-01-02 16:00:00;40;16;5,1;4,3;3100,5;5430,2
2005-01-02 17:00:00;41;17;4,0;4,3;3312,2;5427,4
2005-01-02 18:00:00;42;18;4,4;4,3;3242,3;5423,1
2005-01-02 19:00:00;43;19;4,6;4,3;3200,1;5420,9
2005-01-02 20:00:00;44;20;4,1;4,3;3297,8;5395,7
2005-01-02 21:00:00;45;21;3,6;4,3;3409,4;5390,7
2005-01-02 22:00:00;46;22;3,6;4,3;3399,2;5389,6
2005-01-02 23:00:00;47;23;4,0;4,3;3313,3;5387,7
2005-01-03 00:00:00;48;0;3,2;2,9;2660,4;5381,9
2005-01-03 01:00:00;49;1;2,9;2,9;2727,6;5381,1
2005-01-03 02:00:00;50;2;2,8;2,9;2754,1;5379,6
2005-01-03 03:00:00;51;3;3,2;2,9;2667,3;5375,6
2005-01-03 04:00:00;52;4;3,4;2,9;2624,9;5365,1
2005-01-03 05:00:00;53;5;3,0;2,9;2706,8;5362,8
2005-01-03 06:00:00;54;6;2,9;2,9;2731,4;5360,2
2005-01-03 07:00:00;55;7;2,7;2,9;3580,3;5347,4
2005-01-03 08:00:00;56;8;2,9;2,9;3549,0;5340,6
2005-01-03 09:00:00;57;9;3,1;2,9;3499,3;5336,2
2005-01-03 10:00:00;58;10;3,8;2,9;3356,1;5330,1
2005-01-03 11:00:00;59;11;3,3;2,9;3462,7;5329,6
2005-01-03 12:00:00;60;12;3,6;2,9;3408,1;5316,8
2005-01-03 13:00:00;61;13;4,1;2,9;3301,2;5313,6
2005-01-03 14:00:00;62;14;4,6;2,9;3193,2;5312,9
2005-01-03 15:00:00;63;15;4,1;2,9;3293,6;5299,1
2005-01-03 16:00:00;64;16;3,0;2,9;3519,3;5284,6
2005-01-03 17:00:00;65;17;2,4;2,9;3635,5;5283,9
2005-01-03 18:00:00;66;18;2,7;2,9;3578,7;5275,7
2005-01-03 19:00:00;67;19;2,5;2,9;3618,3;5269,6
2005-01-03 20:00:00;68;20;2,4;2,9;3652,8;5263,4
2005-01-03 21:00:00;69;21;1,4;2,9;3844,7;5254,8
2005-01-03 22:00:00;70;22;0,7;2,9;3991,1;5236,9
2005-01-03 23:00:00;71;23;1,1;2,9;3908,0;5233,8
2005-01-04 00:00:00;72;0;0,5;1,7;3209,8;5233,7
2005-01-04 01:00:00;73;1;0,9;1,7;3133,2;5233,5
2005-01-04 02:00:00;74;2;0,8;1,7;3150,2;5231,9
2005-01-04 03:00:00;75;3;0,2;1,7;3285,0;5231,6
2005-01-04 04:00:00;76;4;-0,3;1,7;3372,1;5225,0
2005-01-04 05:00:00;77;5;-0,0;1,7;3322,1;5222,7
2005-01-04 06:00:00;78;6;0,0;1,7;3318,3;5222,2
2005-01-04 07:00:00;79;7;0,1;1,7;4118,1;5221,9
2005-01-04 08:00:00;80;8;0,8;1,7;3975,6;5215,0
2005-01-04 09:00:00;81;9;1,3;1,7;3876,7;5214,2
2005-01-04 10:00:00;82;10;2,4;1,7;3647,8;5209,0
2005-01-04 11:00:00;83;11;3,2;1,7;3483,0;5208,6
2005-01-04 12:00:00;84;12;3,6;1,7;3397,2;5203,7
2005-01-04 13:00:00;85;13;3,9;1,7;3338,6;5201,5
2005-01-04 14:00:00;86;14;4,0;1,7;3315,4;5193,7
2005-01-04 15:00:00;87;15;3,6;1,7;3407,1;5193,5
2005-01-04 16:00:00;88;16;2,9;1,7;3539,1;5188,4
2005-01-04 17:00:00;89;17;2,9;1,7;3533,9;5185,9
2005-01-04 18:00:00;90;18;2,5;1,7;3615,2;5184,4
2005-01-04 19:00:00;91;19;1,9;1,7;3754,7;5180,6
2005-01-04 20:00:00;92;20;1,5;1,7;3832,3;5177,1
2005-01-04 21:00:00;93;21;1,3;1,7;3872,4;5176,3
2005-01-04 22:00:00;94;22;1,2;1,7;3889,1;5165,7
2005-01-04 23:00:00;95;23;0,8;1,7;3981,5;5158,6
2005-01-05 00:00:00;96;0;0,5;-1,5;3215,9;5156,4
2005-01-05 01:00:00;97;1;0,1;-1,5;3296,0;5154,4
2005-01-05 02:00:00;98;2;-0,3;-1,5;3378,1;5152,2
