blknr,bez,bezname,plr,blktypname,ewk,area,datum,ueberw_dek,freistehen,doppelhaus,gereihtes,anderertyp,x_bis_1900,x1901_1910,x1911_1920,x1921_1930,x1931_1940,x1941_1950,x1951_1960,x1961_1970,x1971_1980,x1981_1990,x1991_2000,x2001_2010,x2011_2015,ew2015,typ,typklar,dh_consumption_mwh2022,dh_consumption_mwh_2021,dh_consumption_mwh_2020,blknr_2,bez_2,bezname_2,plr_2,blktypna_1,ewk_2,area_2,datum_2,fid_x,el_consumption_mwh_2022,el_excluded_2022,el_consumption_mwh_2020,el_excluded_2020,el_consumption_mwh_2021,el_excluded_2021,fid_y,gas_consumption_mwh_2022,gas_excluded_2022,gas_consumption_mwh_2021,gas_excluded_2021,gas_consumption_mwh_2020,gas_excluded_2020,ew2020,ew2021,ew2022
20020,4,Charlottenburg-Wilmersdorf,4300517,Block,unbewohnt,4897.12890625,1994/11/24 00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,19708,4,Charlottenburg-Wilmersdorf,4300518,Block,10-99 Einwohner,16879.630859375,2006/03/10 00:00:00.000,10,,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt,,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt,,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt,11,,Keine Angabe zum Verbrauch verfügbar,,Keine Angabe zum Verbrauch verfügbar,,,0.0,0.0,0
20021,4,Charlottenburg-Wilmersdorf,4300517,Block,unbewohnt,5655.1845703125,1994/11/24 00:00:00.000,1901-1910,,,47.0,4.0,,20.0,1.0,2.0,10.0,,4.0,3.0,11.0,,,,,785.0,11.0,"Freie Zeilenbebauung (1950er-1970er), mit landschaftlichem Siedlungsgrün, 3–6-geschossig",,,,19708,4,Charlottenburg-Wilmersdorf,4300518,Block,10-99 Einwohner,16879.630859375,2006/03/10 00:00:00.000,11,,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt,,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt,,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt,12,,Keine Angabe zum Verbrauch verfügbar,,Keine Angabe zum Verbrauch verfügbar,,,0.0,823.0,0
20022,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,4956.50927734375,1994/11/24 00:00:00.000,1931-1940,,,12.0,,,,,,12.0,,,,,,,,,243.0,10.0,"Blockrandbebauung mit Großhöfen (1920er-1940er), 3–5-geschossig",,,,20022,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,4956.50927734375,1994/11/24 00:00:00.000,12,110.793,,115.702,,117.57,,13,,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt,,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt,,,243.0,240.0,222
20023,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,6848.01953125,1994/11/24 00:00:00.000,1951-1960,,,17.0,,,,,,4.0,,13.0,,,,,,,236.0,10.0,"Blockrandbebauung mit Großhöfen (1920er-1940er), 3–5-geschossig",,,851.346,20023,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,6848.01953125,1994/11/24 00:00:00.000,13,173.854,,182.027,,180.491,,14,34.491,,57.911,,43.37,,233.0,222.0,235
20027,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,14053.1845703125,1993/06/30 00:00:00.000,1921-1930,1.0,,26.0,3.0,5.0,,6.0,11.0,3.0,,5.0,,,,,,,744.0,2.0,"Geschlossene Blockbebauung, Hinterhof (1870er-1918), 5-geschossig",2035.49,2359.61,2184.202,20027,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,14053.1845703125,1993/06/30 00:00:00.000,14,809.294,,843.714,,889.042,,15,1266.009,,1489.637,,1307.496,,730.0,715.0,723
20028,4,Charlottenburg-Wilmersdorf,4300517,Block,10-99 Einwohner,3348.6337890625,1994/10/19 00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,20028,4,Charlottenburg-Wilmersdorf,4300517,Block,10-99 Einwohner,3348.6337890625,1994/10/19 00:00:00.000,15,23.155,,,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt,,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt,16,,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt,306.858,,264.726,,9.0,9.0,9
20029,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,6372.91845703125,1993/06/30 00:00:00.000,1921-1930,,,17.0,,,,,16.0,,1.0,,,,,,,,336.0,10.0,"Blockrandbebauung mit Großhöfen (1920er-1940er), 3–5-geschossig",,,,20029,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,6372.91845703125,1993/06/30 00:00:00.000,16,259.713,,271.946,,278.195,,17,82.095,,74.86,,74.73999999999998,,321.0,321.0,318
20030,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,6492.9599609375,2003/06/18 00:00:00.000,1921-1930,,,19.0,,,,,19.0,,,,,,,,,,323.0,10.0,"Blockrandbebauung mit Großhöfen (1920er-1940er), 3–5-geschossig",1484.434,1732.497,1530.479,20030,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,6492.9599609375,2003/06/18 00:00:00.000,17,249.643,,261.133,,267.326,,18,38.353,,40.327,,38.129,,309.0,299.0,307
20035,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,18004.087890625,1993/06/30 00:00:00.000,1921-1930,,,12.0,1.0,1.0,,,10.0,,1.0,1.0,,,,,,,214.0,41.0,Sicherheit und Ordnung,3112.877,3574.623,3032.746,20035,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,18004.087890625,1993/06/30 00:00:00.000,18,718.907,,600.774,,651.25,,19,13.602,,14.219,,14.657,,217.0,206.0,205
20036,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,14272.669921875,1993/06/30 00:00:00.000,1921-1930,1.0,,27.0,4.0,,,6.0,23.0,,,3.0,,,,,,,691.0,10.0,"Blockrandbebauung mit Großhöfen (1920er-1940er), 3–5-geschossig",2734.877,3237.703,2957.265,20036,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,14272.669921875,1993/06/30 00:00:00.000,19,496.584,,528.244,,527.903,,20,70.979,,69.038,,72.50799999999998,,647.0,624.0,647
