geometry,coordinates,gml_id,building_part_id,index_right,blknr,bez,bezname,plr,blktypname,ewk,area,datum
"POLYGON ((190173.32861862011 173162.36131940878, 190174.17026348063 173161.77031560268, 190178.17334187916 173158.95886579956, 190176.78103461393 173158.31413492933, 190172.46411366324 173152.09205388604, 190172.01001164076 173152.40753438504, 190167.9781725111 173146.596619787, 190168.15199897016 173142.56243896412, 190168.96447830743 173141.43785889362, 190173.7857035534 173141.5971590574, 190173.77399751154 173141.93292812142, 190177.6787645873 173142.06171462222, 190177.6699393259 173142.33456931336, 190181.70365131975 173142.46730667213, 190181.71991862232 173141.74926037356, 190182.0170356733 173128.592353726, 190148.95638719285 173127.80311659476, 190144.78435804573 173135.68956637892, 190167.04650713856 173166.77468219653, 190173.32861862011 173162.36131940878))","[[384976.272, 5820790.551, 32.65], [384977.076, 5820789.909, 32.65], [384980.9, 5820786.855, 32.65], [384979.47, 5820786.297, 32.65], [384974.776, 5820780.35, 32.65], [384974.342, 5820780.693, 32.65], [384969.958, 5820775.139, 32.65], [384969.883, 5820771.1, 32.65], [384970.625, 5820769.927, 32.65], [384975.449, 5820769.789, 32.65], [384975.458, 5820770.125, 32.65], [384979.365, 5820770.013, 32.65], [384979.373, 5820770.286, 32.65], [384983.409, 5820770.17, 32.65], [384983.381, 5820769.452, 32.65], [384982.867, 5820756.296, 32.65], [384949.806, 5820757.545, 32.65], [384946.126, 5820765.677, 32.65], [384970.271, 5820795.345, 32.65], [384976.272, 5820790.551, 32.65]]",DEBE3D04YY50000BlO,,28,020050,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,819.436561786015,1994/06/01 00:00:00.000
"POLYGON ((190209.72002693682 173191.66743806496, 190211.22429089053 173193.8573243609, 190217.97997376605 173194.03885143818, 190220.66598822272 173193.40442764794, 190220.67635078594 173193.02551267232, 190222.97502849885 173193.0852364462, 190224.97672282212 173193.13765044053, 190225.02222914004 173191.23167030443, 190225.1295959087 173186.73271427138, 190225.1835563026 173184.4787467926, 190225.26640987463 173180.993761529, 190212.02041586587 173180.87441528993, 190211.97809884447 173181.6088806467, 190211.82561198555 173184.2423314487, 190211.46810177894 173190.40931072933, 190210.67688137988 173190.97838968132, 190209.72002693682 173191.66743806496))","[[385014.416, 5820817.572, 32.036], [385016.053, 5820819.666, 32.036], [385022.81, 5820819.431, 32.036], [385025.453, 5820818.632, 32.036], [385025.44, 5820818.253, 32.036], [385027.739, 5820818.171, 32.036], [385029.741, 5820818.1, 32.036], [385029.669, 5820816.194, 32.036], [385029.499, 5820811.695, 32.036], [385029.414, 5820809.441, 32.036], [385029.282, 5820805.956, 32.036], [385016.048, 5820806.653, 32.036], [385016.051, 5820807.389, 32.036], [385016.061, 5820810.028, 32.036], [385016.084, 5820816.208, 32.036], [385015.329, 5820816.825, 32.036], [385014.416, 5820817.572, 32.036]]",DEBE3D04YY50000QXO,,28,020050,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,173.9373585474932,1994/06/01 00:00:00.000
"POLYGON ((190209.72002693682 173191.66743806496, 190211.22429089053 173193.8573243609, 190217.97997376605 173194.03885143818, 190220.66598822272 173193.40442764794, 190220.67635078594 173193.02551267232, 190222.97502849885 173193.0852364462, 190224.97672282212 173193.13765044053, 190225.02222914004 173191.23167030443, 190225.1295959087 173186.73271427138, 190225.1835563026 173184.4787467926, 190225.26640987463 173180.993761529, 190212.02041586587 173180.87441528993, 190211.97809884447 173181.6088806467, 190211.82561198555 173184.2423314487, 190211.46810177894 173190.40931072933, 190210.67688137988 173190.97838968132, 190209.72002693682 173191.66743806496))","[[385014.416, 5820817.572, 32.036], [385016.053, 5820819.666, 32.036], [385022.81, 5820819.431, 32.036], [385025.453, 5820818.632, 32.036], [385025.44, 5820818.253, 32.036], [385027.739, 5820818.171, 32.036], [385029.741, 5820818.1, 32.036], [385029.669, 5820816.194, 32.036], [385029.499, 5820811.695, 32.036], [385029.414, 5820809.441, 32.036], [385029.282, 5820805.956, 32.036], [385016.048, 5820806.653, 32.036], [385016.051, 5820807.389, 32.036], [385016.061, 5820810.028, 32.036], [385016.084, 5820816.208, 32.036], [385015.329, 5820816.825, 32.036], [385014.416, 5820817.572, 32.036]]",DEBE3D04YY50000QXO,DEBE3DPcFE8lkbYV,28,020050,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,173.9373585474932,1994/06/01 00:00:00.000
"POLYGON ((190229.7310809504 173193.26077722237, 190229.75119746025 173192.83739829296, 190230.03828403432 173186.87037146548, 190225.1295959087 173186.73271427138, 190224.97672282212 173193.13765044053, 190229.7310809504 173193.26077722237))","[[385034.496, 5820817.93, 32.036], [385034.49, 5820817.506, 32.036], [385034.409, 5820811.53, 32.036], [385029.499, 5820811.695, 32.036], [385029.741, 5820818.1, 32.036], [385034.496, 5820817.93, 32.036]]",DEBE3D04YY50000QXO,DEBE3DpnBYcjfpwT,28,020050,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,30.939735013564885,1994/06/01 00:00:00.000
"POLYGON ((190219.01940630068 173206.16360860458, 190210.68330929257 173205.74034849482, 190203.48751104047 173217.65737535004, 190218.41362145284 173218.41517897, 190218.98718725817 173206.8155757357, 190219.01940630068 173206.16360860458))","[[385024.595, 5820831.474, 32.036], [385016.245, 5820831.565, 32.036], [385009.794, 5820843.908, 32.036], [385024.745, 5820843.745, 32.036], [385024.603, 5820832.127, 32.036], [385024.595, 5820831.474, 32.036]]",DEBE3D04YY50000QXO,DEBE3DwERcC6Wilv,28,020050,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,142.85738108210828,1994/06/01 00:00:00.000
"POLYGON ((190210.68330929257 173205.74034849482, 190208.36628488117 173202.50485518322, 190208.54089873104 173201.28182781077, 190204.39934066826 173195.49618807255, 190201.08976319377 173197.87774178653, 190195.52797867465 173201.88089061584, 190193.3240651418 173203.46640875062, 190203.48751104047 173217.65737535004, 190205.01460727508 173215.12777478644, 190208.87070709927 173208.74204676662, 190210.68330929257 173205.74034849482))","[[385016.245, 5820831.565, 32.036], [385013.732, 5820828.477, 32.036], [385013.831, 5820827.245, 32.036], [385009.339, 5820821.723, 32.036], [385006.181, 5820824.305, 32.036], [385000.874, 5820828.645, 32.036], [384998.771, 5820830.364, 32.036], [385009.794, 5820843.908, 32.036], [385011.163, 5820841.288, 32.036], [385014.62, 5820834.674, 32.036], [385016.245, 5820831.565, 32.036]]",DEBE3D04YY50000QXO,DEBE3Dr7C1Pi9fpg,28,020050,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,194.71979866122075,1994/06/01 00:00:00.000
"POLYGON ((190228.4948056378 173218.92709489187, 190229.05346762316 173207.32557020185, 190223.16025495343 173207.02701468687, 190218.98718725817 173206.8155757357, 190218.41362145284 173218.41517897, 190228.4948056378 173218.92709489187))","[[385034.843, 5820843.635, 32.036], [385034.686, 5820832.016, 32.036], [385028.783, 5820832.081, 32.036], [385024.603, 5820832.127, 32.036], [385024.745, 5820843.745, 32.036], [385034.843, 5820843.635, 32.036]]",DEBE3D04YY50000QXO,DEBE3DreIS3XAmQ0,28,020050,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,117.15015326320406,1994/06/01 00:00:00.000
"POLYGON ((190222.97502849885 173193.0852364462, 190223.22266723993 173194.63876433656, 190222.73272792296 173204.282663115, 190223.29783672272 173204.31052386944, 190223.16025495343 173207.02701468687, 190229.05346762316 173207.32557020185, 190229.12635063395 173205.8198614983, 190229.35503255745 173201.0589975925, 190229.7310809504 173193.26077722237, 190222.97502849885 173193.0852364462))","[[385027.739, 5820818.171, 32.036], [385028.082, 5820819.707, 32.036], [385028.187, 5820829.367, 32.036], [385028.753, 5820829.36, 32.036], [385028.783, 5820832.081, 32.036], [385034.686, 5820832.016, 32.036], [385034.666, 5820830.508, 32.036], [385034.601, 5820825.74, 32.036], [385034.496, 5820817.93, 32.036], [385027.739, 5820818.171, 32.036]]",DEBE3D04YY50000QXO,DEBE3DbXtj6PSQn3,28,020050,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,89.00483091439,1994/06/01 00:00:00.000
"POLYGON ((190186.217896145 173159.3190699764, 190181.3819480635 173156.70427650266, 190178.17334187916 173158.95886579956, 190174.17026348063 173161.77031560268, 190173.32861862011 173162.36131940878, 190176.40451435518 173166.5419514868, 190179.69036823136 173164.12288173457, 190186.217896145 173159.3190699764))","[[384988.955, 5820786.719, 33.708], [384983.965, 5820784.406, 33.708], [384980.9, 5820786.855, 33.708], [384977.076, 5820789.909, 33.708], [384976.272, 5820790.551, 33.708], [384979.601, 5820794.536, 33.708], [384982.733, 5820791.918, 33.708], [384988.955, 5820786.719, 33.708]]",DEBE3D04YY50000PO8,,28,020050,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,55.82293556412306,1994/06/01 00:00:00.000
"POLYGON ((190186.217896145 173159.3190699764, 190181.3819480635 173156.70427650266, 190178.17334187916 173158.95886579956, 190174.17026348063 173161.77031560268, 190173.32861862011 173162.36131940878, 190176.40451435518 173166.5419514868, 190179.69036823136 173164.12288173457, 190186.217896145 173159.3190699764))","[[384988.955, 5820786.719, 33.708], [384983.965, 5820784.406, 33.708], [384980.9, 5820786.855, 33.708], [384977.076, 5820789.909, 33.708], [384976.272, 5820790.551, 33.708], [384979.601, 5820794.536, 33.708], [384982.733, 5820791.918, 33.708], [384988.955, 5820786.719, 33.708]]",DEBE3D04YY50000PO8,DEBE04YY50000PO8_01,28,020050,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,55.82293556412306,1994/06/01 00:00:00.000
