Index;Consumption [kWh/h]
1;5806,70
2;5802,45
3;5771,33
4;5759,21
5;5757,14
6;5755,37
7;5750,88
8;5743,53
9;5738,14
10;5733,18
11;5732,86
12;5731,58
13;5728,01
14;5728,00
15;5726,87
16;5720,73
17;5720,66
18;5718,58
19;5715,86
20;5715,84
21;5714,16
22;5713,34
23;5712,61
24;5712,46
25;5709,86
26;5708,73
27;5708,02
28;5705,92
29;5703,98
30;5702,92
31;5702,63
32;5702,56
33;5698,42
34;5697,92
35;5697,60
36;5696,18
37;5695,98
38;5694,71
39;5694,27
40;5692,35
41;5692,27
42;5690,28
43;5681,53
44;5680,05
45;5679,82
46;5679,78
47;5674,47
48;5672,15
49;5671,49
50;5670,73
51;5670,42
52;5669,30
53;5668,23
54;5665,58
55;5663,55
56;5661,29
57;5659,46
58;5658,77
59;5658,02
60;5656,68
61;5655,07
62;5652,96
63;5652,63
64;5644,15
65;5643,84
66;5634,55
67;5633,32
68;5632,33
69;5631,05
70;5629,57
71;5629,25
72;5628,03
73;5627,89
74;5627,65
75;5626,95
76;5625,61
77;5625,49
78;5624,00
79;5621,58
80;5620,97
81;5619,14
82;5618,27
83;5618,12
84;5618,10
85;5617,36
86;5615,60
87;5615,39
88;5613,55
89;5613,16
90;5608,97
91;5608,46
92;5607,40
93;5601,29
94;5600,46
95;5599,50
96;5599,09
97;5596,48
98;5596,04
99;5596,00
100;5591,65
101;5589,47
102;5588,49
103;5587,88
104;5586,04
105;5585,92
106;5583,91
107;5580,28
108;5579,18
109;5578,00
110;5577,87
111;5577,54
112;5577,50
113;5575,08
114;5573,32
115;5573,20
116;5569,97
117;5567,01
118;5566,77
119;5566,49
120;5560,93
121;5559,53
122;5556,47
123;5554,50
124;5551,19
125;5545,43
126;5535,92
127;5534,55
128;5510,99
129;5259,63
130;5245,21
131;5240,86
132;5240,00
133;5235,57
134;5233,11
135;5232,14
136;5232,14
137;5227,98
138;5227,55
139;5225,12
140;5222,63
141;5222,11
142;5220,31
143;5219,23
144;5216,61
145;5215,31
146;5215,28
147;5213,97
148;5212,27
149;5209,38
150;5208,39
151;5200,67
152;5199,32
153;5198,65
154;5197,29
155;5197,27
156;5196,98
157;5195,49
158;5195,21
159;5194,31
160;5194,05
161;5192,51
162;5191,60
163;5190,10
164;5189,60
165;5189,54
166;5188,77
167;5187,26
168;5184,51
169;5183,81
170;5182,88
171;5181,86
172;5181,86
173;5181,74
174;5181,16
175;5179,94
176;5179,46
177;5179,44
178;5178,14
179;5177,29
180;5177,10
181;5177,10
182;5176,55
183;5176,52
184;5175,76
185;5174,85
186;5174,77
187;5174,48
188;5174,07
189;5173,39
190;5172,69
191;5172,40
192;5172,25
193;5171,96
194;5171,96
195;5171,95
196;5171,82
197;5171,59
198;5171,18
199;5171,11
200;5171,04
201;5170,84
202;5170,30
203;5168,14
204;5167,57
205;5167,35
206;5165,91
207;5165,42
208;5164,65
209;5163,99
210;5163,17
211;5162,76
212;5162,59
213;5161,82
214;5161,22
215;5160,23
216;5160,11
217;5158,88
218;5158,07
219;5155,88
220;5155,03
221;5154,58
222;5151,08
223;5150,76
224;5150,64
225;5150,53
226;5149,81
227;5149,70
228;5148,34
229;5148,32
230;5147,96
231;5145,49
232;5145,36
233;5144,76
234;5144,21
235;5143,41
236;5143,00
237;5142,18
238;5141,46
239;5141,29
240;5140,71
241;5140,32
242;5138,55
243;5138,27
244;5137,57
245;5136,05
246;5135,63
247;5134,11
248;5133,37
249;5131,99
250;5130,47
251;5129,45
252;5127,90
253;5125,91
254;5114,00
255;5095,23
256;5066,00
257;5037,73
258;5036,21
259;5035,64
260;5032,91
261;5022,66
