BuildingID,yearOfConstruction
attribute_type,bldg
DEBE3D04YY50000F2F,2013
DEBE3D04AL4tn00007,2013
DEBE3D04YY50000LrX,2013
DEBE3D04YY50000Ijt,2013
DEBE3D04YY500001dN,2013
DEBE3D04YY50000G7Y,2013
DEBE3D04YY500009qX,2013
DEBE3D04YY50000PMr,2013
DEBE3D04YY50000Dno,2013
DEBE3D04YY50000B1M,2013
DEBE3D04YY50000MGa,2013
DEBE3D04YY500001fB,2013
DEBE3D04YY50002d0j,2013
DEBE3D04YY500003Ns,2013
DEBE3D04YY50000FxA,2013
DEBE3D04YY50002cTc,2013
DEBE3D04YY500006P0,2013
DEBE3D04YY50000PJ1,2013
DEBE3D04YY500006Xo,2013
DEBE3D04YY50002bXp,2013
DEBE3D04AL4tn00000,2013
DEBE3D04YY500006ZN,2013
DEBE3D04YY50000Op0,2013
DEBE3D04YY50000M9i,2013
DEBE3D04YY500007Es,2013
DEBE3D04YY50000HDy,2013
DEBE3D04YY500001xw,2013
DEBE3D04YY50000LiN,2013
DEBE3D04YY500007Zv,2013
DEBE3D04YY50002Xum,2013
DEBE3D04YY50000QQy,2013
DEBE3D04YY50000Gyq,2013
DEBE3D04YY50000KQ3,2013
DEBE3D04YY50000MFB,2013
DEBE3D04YY500002TA,2013
DEBE3D04YY50000IFv,2013
DEBE3D04YY50000KAM,2013
DEBE3D04YY50000Pwh,2013
DEBE3D04YY5000077d,2013
DEBE3D04YY50000654,2013
DEBE3D04YY50000L0M,2013
DEBE3D04YY50000JCt,2013
DEBE3D04YY50000I1y,2013
DEBE3D04YY50000MXB,2013
DEBE3D04YY50002d0q,2013
DEBE3D04YY500003wK,2013
DEBE3D04YY50000LMS,2013
DEBE3D04YY50000Bxh,2013
DEBE3D04YY500006FD,2013
DEBE3D04YY50000Pv4,2013
DEBE3D04YY500004D7,2013
DEBE3D04YY500008mc,2013
DEBE3D04YY5000038E,2013
DEBE3D04YY5000070W,2013
DEBE3D04YY50000G55,2013
DEBE3D04YY500006cf,2013
DEBE3D04YY50000ATs,2013
DEBE3D04YY500009Rh,2013
DEBE3D04YY500002tQ,2013
DEBE3D04YY50000Qsu,2013
DEBE3D04YY50002bqG,2013
DEBE3D04YY50000OXX,2013
DEBE3D04YY50000Dc4,2013
DEBE3D04YY50000GVc,2013
DEBE3D04YY50000PiB,2013
DEBE3D04YY50002cXq,2013
DEBE3D04YY500006sf,2013
DEBE3D04YY50000MHu,2013
