BuildingID,yearOfConstruction
attribute_type,bldg
DEBE3D04YY50000QZa,1900
DEBE3D04YY50002coP,1900
DEBE3D04YY50000OcC,1900
DEBE3D04YY500001CZ,1900
DEBE3D04YY50000LhN,1900
DEBE3D04YY50000LLG,1900
DEBE3D04YY50000OKi,1900
DEBE3D04YY50000Out,1900
DEBE3D04YY500007M4,1900
DEBE3D04YY50000MAu,1900
DEBE3D04YY50002cOx,1900
DEBE3D04YY50002bX7,1900
DEBE3D04YY50000D8T,1900
DEBE3D04YY50000M5q,1900
DEBE3D04YY50000EMa,1900
DEBE3D04YY500005Q9,1900
DEBE3D04YY50000Ll0,1900
DEBE3D04YY50000BfJ,1900
DEBE3D04YY50002btv,1900
DEBE3D04YY50000F8S,1900
DEBE3D04YY500003sF,1900
DEBE3D04YY50000Nti,1905
DEBE3D04YY50000Ono,1905
DEBE3D04YY50002bf6,1905
DEBE3D04YY50002co9,1905
DEBE3D04YY50002cal,1905
DEBE3D04YY50000RcL,1905
DEBE3D04YY500002eT,1905
DEBE3D04YY50002c2v,1905
DEBE3D04YY50000L9h,1905
DEBE3D04YY50000O01,1905
DEBE3D04YY50002cGe,1905
DEBE3D04YY50002d0K,1905
DEBE3D04YY50002bzH,1905
DEBE3D04YY50002cL7,1905
DEBE3D04YY50002ciJ,1905
DEBE3D04YY50000Qwb,1905
DEBE3D04YY50000I3M,1905
