Time;Hour of the year;Hour;Ambient temperature;Daily temperature;Hourly demand;Load Duration Curve
[yyyy-MM-dd HH:mm:ss];[hoy];[h];[°C];[°C];[kWh/h];[kWh/h]
2005-01-01 00:30:00;0;0;9,3;9,5;399,5;1643,5
2005-01-01 01:30:00;1;1;8,8;9,5;425,4;1633,2
2005-01-01 02:30:00;2;2;8,3;9,5;451,3;1617,6
2005-01-01 03:30:00;3;3;8,1;9,5;461,6;1602,1
2005-01-01 04:30:00;4;4;7,9;9,5;472,0;1591,7
2005-01-01 05:30:00;5;5;7,7;9,5;482,4;1576,2
2005-01-01 06:30:00;6;6;7,6;9,5;487,5;1576,2
2005-01-01 07:30:00;7;7;7,5;9,5;659,1;1571,0
2005-01-01 08:30:00;8;8;7,7;9,5;648,7;1560,6
2005-01-01 09:30:00;9;9;9,1;9,5;576,2;1550,3
2005-01-01 10:30:00;10;10;10,4;9,5;508,9;1534,7
2005-01-01 11:30:00;11;11;11,5;9,5;451,9;1503,6
2005-01-01 12:30:00;12;12;12,2;9,5;415,6;1498,5
2005-01-01 13:30:00;13;13;12,6;9,5;394,9;1493,3
2005-01-01 14:30:00;14;14;12,6;9,5;394,9;1492,0
2005-01-01 15:30:00;15;15;12,1;9,5;420,8;1488,1
2005-01-01 16:30:00;16;16;11,4;9,5;457,0;1477,7
2005-01-01 17:30:00;17;17;10,7;9,5;493,3;1462,2
2005-01-01 18:30:00;18;18;10,1;9,5;524,4;1460,7
2005-01-01 19:30:00;19;19;9,5;9,5;555,5;1456,4
2005-01-01 20:30:00;20;20;8,9;9,5;586,6;1451,8
2005-01-01 21:30:00;21;21;8,3;9,5;617,7;1451,8
2005-01-01 22:30:00;22;22;7,6;9,5;653,9;1446,7
2005-01-01 23:30:00;23;23;7,0;9,5;685,0;1445,1
2005-01-02 00:30:00;24;0;5,8;2,6;580,8;1445,1
2005-01-02 01:30:00;25;1;4,4;2,6;653,3;1445,1
2005-01-02 02:30:00;26;2;3,1;2,6;720,7;1440,9
2005-01-02 03:30:00;27;3;2,3;2,6;762,1;1436,3
2005-01-02 04:30:00;28;4;1,6;2,6;798,4;1436,3
2005-01-02 05:30:00;29;5;0,8;2,6;839,9;1431,1
2005-01-02 06:30:00;30;6;0,3;2,6;865,8;1429,4
2005-01-02 07:30:00;31;7;-0,3;2,6;1063,2;1425,9
2005-01-02 08:30:00;32;8;-0,3;2,6;1063,2;1425,9
2005-01-02 09:30:00;33;9;1,5;2,6;970,0;1425,9
2005-01-02 10:30:00;34;10;3,0;2,6;892,3;1424,2
2005-01-02 11:30:00;35;11;4,4;2,6;819,7;1420,7
2005-01-02 12:30:00;36;12;5,2;2,6;778,3;1417,3
2005-01-02 13:30:00;37;13;5,6;2,6;757,6;1415,6
2005-01-02 14:30:00;38;14;5,6;2,6;757,6;1415,6
2005-01-02 15:30:00;39;15;4,8;2,6;799,0;1415,6
2005-01-02 16:30:00;40;16;3,5;2,6;866,4;1415,6
2005-01-02 17:30:00;41;17;3,0;2,6;892,3;1410,4
2005-01-02 18:30:00;42;18;2,5;2,6;918,2;1408,6
2005-01-02 19:30:00;43;19;2,0;2,6;944,1;1405,2
2005-01-02 20:30:00;44;20;1,6;2,6;964,8;1405,2
